,0
pr_1m_0m_cross,1.0
ram_12m_0m_cross,0.97502947
mv_serial,0.9454513
res_vol_6m_3m_0m_serial,0.89478666
roe_serial,0.7484204
pr_1m_0m_serial,0.7424494
ret_noa_serial,0.7340424
core_cpi_cross,0.72641873
roe_cross,0.7155867
ia_ta_cross,0.6743992
t6m_cross,0.6662116
t5y_cross,0.6322045
mv_cross,0.62995666
mom_12m_1m_cross,0.6076085
core_ppi_serial,0.60575426
t3m_serial,0.5988903
core_cpi_serial,0.5973082
m1_serial,0.5915153
t2y_serial,0.57989687
export_growth_cross,0.56823856
r_s_serial,0.5646446
ram_12m_0m_serial,0.55957067
m2_cross,0.54164976
t7y_cross,0.5327959
real_gig_serial,0.5258214
ret_noa_cross,0.52581424
fred_ff_serial,0.52370536
ia_mv_serial,0.52128655
r_a_serial,0.52052456
export_growth_serial,0.51316214
real_gdp_cross,0.49094406
core_ppi_cross,0.49093005
t3y_serial,0.48781753
m1_cross,0.47427365
t1y_ff_serial,0.46986943
baa_t10y_serial,0.46923774
t6m_serial,0.46560013
etm_cross,0.4581248
baa_t10y_cross,0.45747346
trimmed_pce_cross,0.45520094
r_a_cross,0.45153466
snp500_vol_cross,0.42582056
real_gdp_serial,0.4256124
capa_util_cross,0.42279553
t5y_serial,0.42184198
home_pr_cross,0.41753948
trimmed_pce_serial,0.41142252
ia_mv_cross,0.40719527
t5y_ff_serial,0.40499318
baa_ff_cross,0.4031539
corporate_tg_serial,0.39889798
ia_ta_serial,0.3987349
t10y_serial,0.39716408
ppi_serial,0.39506853
btm_cross,0.39448315
m2_serial,0.3924947
asset_turnover_cross,0.38535023
t3y_cross,0.38519317
fred_ff_cross,0.3823483
snp500_pr_serial,0.3797628
ae_m_serial,0.37882683
import_growth_cross,0.37544626
core_pce_serial,0.3700772
snp500_pe_cross,0.36528173
real_gig_cross,0.36125407
std_u_e_serial,0.36059976
op_lev_serial,0.35678536
wti_serial,0.35561648
wilshire500_pr_serial,0.35391095
rev_surp_cross,0.35112137
r_s_cross,0.34413627
real_pig_serial,0.34350786
t7y_serial,0.3394453
t5y_ff_cross,0.33186212
cpi_serial,0.32416436
baa_cross,0.32400176
corporate_tg_cross,0.3220091
home_pr_serial,0.3218898
aaa_ff_cross,0.32061508
gpa_cross,0.31554496
aaa_t10y_serial,0.31272548
t10y_t2y_cross,0.31199646
ted_serial,0.30623993
ae_m_cross,0.29772356
t1y_ff_cross,0.297036
import_growth_serial,0.29582676
cash_at_cross,0.28185174
retail_mfr_cross,0.28155845
rev_surp_serial,0.2737827
std_u_e_cross,0.272453
unemploy_cross,0.27233306
industrial_prod_serial,0.26729384
aaa_ff_serial,0.26548508
unemploy_serial,0.26211345
snp500_vol_serial,0.2604877
res_mom_12m_1m_0m_cross,0.2597518
gpa_serial,0.25972104
real_pig_cross,0.2572867
wti_cross,0.25512663
t2y_cross,0.25099015
snp500_pr_cross,0.25042358
federal_tg_cross,0.24990977
rc_a_cross,0.24607436
rc_a_serial,0.24587318
core_pce_cross,0.22673811
baa_ff_serial,0.22486253
t10y_cross,0.22303219
wilshire500_pr_cross,0.22213995
capa_util_serial,0.21194097
res_mom_12m_1m_0m_serial,0.21186365
industrial_prod_cross,0.20250246
t3m_cross,0.20215164
vol_3m_cross,0.17363037
cash_at_serial,0.17263411
res_vol_6m_3m_0m_cross,0.17134413
cpi_cross,0.16611579
vol_3m_serial,0.16139112
btm_serial,0.15590781
asset_turnover_serial,0.15454367
ted_cross,0.14723901
snp500_pe_serial,0.12516733
baa_serial,0.12222011
pce_serial,0.115454435
etm_serial,0.110165365
t10y_t2y_serial,0.08867339
pce_cross,0.08072881
aaa_t10y_cross,0.073400885
retail_mfr_serial,0.07040284
aaa_serial,0.06879474
op_lev_cross,0.052769627
federal_tg_serial,0.04466537
ppi_cross,0.021032654
mom_12m_1m_serial,0.019817548
aaa_cross,0.0
