,,SALESFORCE.COM INC,NVIDIA CORP,ALPHABET INC,AMAZON.COM INC,TAIWAN SEMICONDUCTOR MFG CO,MICROSOFT CORP,NETFLIX INC,TESLA INC,FACEBOOK INC,ALIBABA GROUP HLDG,PAYPAL HOLDINGS INC
,,CRM,NVDA,GOOGL,AMZN,TSM,MSFT,NFLX,TSLA,FB,BABA,PYPL
SALESFORCE.COM INC,CRM,0.02185673,0.020568367,0.017316619,0.018147735,0.017390825,0.019992271,0.0217703,0.016378641,0.018514398,0.0163078,0.02200269
NVIDIA CORP,NVDA,0.024175012,0.022510085,0.019331785,0.020323852,0.019292163,0.022280896,0.024009736,0.018022703,0.020584645,0.018169219,0.024302633
ALPHABET INC,GOOGL,0.020709127,0.019413851,0.016007077,0.016911073,0.016151076,0.018498229,0.020475255,0.01517111,0.017298112,0.015021098,0.020778794
AMAZON.COM INC,AMZN,0.020339796,0.01887732,0.015789717,0.016783513,0.01586685,0.01810761,0.019975396,0.0148569355,0.01704769,0.014787237,0.020331733
TAIWAN SEMICONDUCTOR MFG CO,TSM,0.020579578,0.018824523,0.01590592,0.016809119,0.015675152,0.018720392,0.020374808,0.014349927,0.017070739,0.014685317,0.02060726
MICROSOFT CORP,MSFT,0.019497953,0.018269235,0.01438112,0.015397431,0.01471824,0.017362824,0.019400695,0.013500206,0.015786912,0.013518824,0.019790353
NETFLIX INC,NFLX,0.021872515,0.020451812,0.016999537,0.017988719,0.017145503,0.019762544,0.021671897,0.016004872,0.018317854,0.015975755,0.02201496
TESLA INC,TSLA,0.019077405,0.017136952,0.014338757,0.015242974,0.013993191,0.017023012,0.018729668,0.012562017,0.015498565,0.012917019,0.018960595
FACEBOOK INC,FB,0.020092841,0.018744359,0.015563007,0.016375002,0.015568286,0.01817324,0.019964,0.014513898,0.016745975,0.014502734,0.02017964
ALIBABA GROUP HLDG,BABA,0.018765856,0.017124915,0.014311314,0.015285504,0.014256375,0.016601529,0.018345412,0.0130942995,0.015512929,0.013203222,0.018685449
PAYPAL HOLDINGS INC,PYPL,0.020767577,0.01929708,0.016180934,0.017115124,0.016220607,0.019002002,0.020648884,0.014988569,0.017376276,0.015179993,0.020947112
