,,SALESFORCE.COM INC,NVIDIA CORP,ALPHABET INC,AMAZON.COM INC,TAIWAN SEMICONDUCTOR MFG CO,MICROSOFT CORP,NETFLIX INC,TESLA INC,PACIFIC BIOSCIENCES OF CALIF,FACEBOOK INC,ALIBABA GROUP HLDG,PAYPAL HOLDINGS INC,GUARDANT HEALTH INC,BIONANO GENOMICS INC,UBER TECHNOLOGIES INC,4D MOLECULAR THER INC,VIR BIOTECHNOLOGY INC,ONECONNECT FIN TECH -ADS,RELAY THERAPEUTICS INC,KE HOLDINGS INC -ADR,SEER INC,DOORDASH INC,ABCELLERA BIOLOGICS INC,OPENDOOR TECHNOLOGIES INC,QUALTRICS INTERNATION,SANA BIOTCHNOLOGY INC,VIEW INC
,,CRM,NVDA,GOOGL,AMZN,TSM,MSFT,NFLX,TSLA,PACB,FB,BABA,PYPL,GH,BNGO,UBER,FDMT,VIR,OCFT,RLAY,BEKE,SEER,DASH,ABCL,OPEN,XM,SANA,VIEW
SALESFORCE.COM INC,CRM,0.018380782,0.017384665,0.015148101,0.015898433,0.014749856,0.017302945,0.018771488,0.013720363,0.014884925,0.0161359,0.013790666,0.018946668,0.015107466,0.019612152,0.01784037,0.01584069,0.01707732,0.019095488,0.018915439,0.01658189,0.017068788,0.018045371,0.017971883,0.01605132,0.01859367,0.015266643,0.01596432
NVIDIA CORP,NVDA,0.020996273,0.019969111,0.017008778,0.017957397,0.016776526,0.019837178,0.021535026,0.015524711,0.017129159,0.01821474,0.015693294,0.021815613,0.017172828,0.022954145,0.020218333,0.018028513,0.019407215,0.021948015,0.021592166,0.018787274,0.019411132,0.020550681,0.020503258,0.01815521,0.021261467,0.017312452,0.018114537
ALPHABET INC,GOOGL,0.018018387,0.017001541,0.013822043,0.014689655,0.013775743,0.016204199,0.018146122,0.012795444,0.014291512,0.015064589,0.012680378,0.018435543,0.014209285,0.020247087,0.017402356,0.01532105,0.016907373,0.018775161,0.01911224,0.015915256,0.016666966,0.017796896,0.017627127,0.015477277,0.018542998,0.014460546,0.015307319
AMAZON.COM INC,AMZN,0.017645566,0.016491925,0.013621806,0.0145745715,0.013510111,0.015838541,0.01767132,0.01250274,0.014035376,0.014831571,0.012466674,0.01801114,0.013982448,0.019695343,0.017139597,0.015101104,0.016668351,0.01862959,0.01886319,0.015777647,0.016448755,0.017508091,0.017402878,0.015143002,0.01837193,0.0141893765,0.015004412
TAIWAN SEMICONDUCTOR MFG CO,TSM,0.017487807,0.01640984,0.013699153,0.014565392,0.01328877,0.016400438,0.018027352,0.011975938,0.013666724,0.014819519,0.012332046,0.018249936,0.013683125,0.019218534,0.016742345,0.014738081,0.015892936,0.018433629,0.018129433,0.0154697895,0.01609215,0.017177323,0.017118352,0.014819499,0.017857188,0.014080801,0.014811765
MICROSOFT CORP,MSFT,0.016567193,0.01567536,0.012032398,0.013010134,0.012171917,0.01488644,0.016891211,0.010958954,0.012830799,0.013386406,0.011003291,0.017266849,0.012569304,0.019379068,0.01578782,0.013736421,0.0152480025,0.017523749,0.017661253,0.014307615,0.015103193,0.016309284,0.016147308,0.013765341,0.017202815,0.0128009515,0.013658115
NETFLIX INC,NFLX,0.018951256,0.017953089,0.014734032,0.015682343,0.014683992,0.017380333,0.019252494,0.013551435,0.015197169,0.016002106,0.013553726,0.019581418,0.015113057,0.021276202,0.018263353,0.016127465,0.017655168,0.019869223,0.019911494,0.016788907,0.017497044,0.018650431,0.018523358,0.016229454,0.019454177,0.0152774425,0.01611386
TESLA INC,TSLA,0.015844626,0.014731633,0.012139561,0.013005564,0.011619992,0.0147104645,0.016387105,0.010207308,0.011957026,0.0132540865,0.010579849,0.016608566,0.0120137185,0.017469715,0.015239545,0.013166331,0.014298541,0.016866868,0.016661488,0.014016396,0.01456346,0.01567505,0.015549074,0.013254794,0.016485067,0.012489908,0.013209359
PACIFIC BIOSCIENCES OF CALIF,PACB,0.018846309,0.017489258,0.015716095,0.016624853,0.0151426,0.017588869,0.018973215,0.01404606,0.0153689375,0.016692832,0.014260622,0.019237591,0.01563494,0.01981532,0.018494612,0.016518112,0.017796185,0.019995904,0.019753799,0.017422438,0.01781824,0.018702798,0.018732125,0.016527561,0.019492153,0.015803838,0.016482763
FACEBOOK INC,FB,0.01733219,0.016439475,0.01347411,0.014253588,0.013294946,0.015979076,0.017738,0.012241222,0.013646969,0.014611881,0.012264786,0.017942786,0.01364353,0.019257905,0.016635658,0.014602737,0.015950179,0.017978106,0.018026186,0.015214795,0.015889987,0.01699628,0.016849246,0.014825352,0.017591517,0.013930222,0.014709977
ALIBABA GROUP HLDG,BABA,0.015961139,0.0147820525,0.012180139,0.013113566,0.011935273,0.014373546,0.016084451,0.010778966,0.0123931095,0.013333695,0.010920607,0.016407045,0.012391478,0.017783476,0.015472057,0.01351877,0.014899765,0.017040055,0.017115956,0.014259795,0.014845703,0.015864981,0.015780276,0.013499374,0.016760813,0.012652671,0.013410129
PAYPAL HOLDINGS INC,PYPL,0.017848166,0.016928824,0.014025074,0.014920955,0.013876708,0.016735997,0.0183549,0.012654795,0.014285978,0.015175299,0.012871473,0.018640472,0.014239592,0.019880272,0.017096587,0.015134842,0.016370844,0.018795814,0.01849344,0.01579843,0.016417723,0.017487386,0.017433269,0.015189816,0.018199293,0.014427562,0.015164969
GUARDANT HEALTH INC,GH,0.019891845,0.01886704,0.016122665,0.01686799,0.01567137,0.018689182,0.020407911,0.014537827,0.015937934,0.017224275,0.014648189,0.020545807,0.016076287,0.021475056,0.019188559,0.017021224,0.018323611,0.02054456,0.020453602,0.017747289,0.018392166,0.019515742,0.019380534,0.01732049,0.020037642,0.016444448,0.017215831
BIONANO GENOMICS INC,BNGO,0.01766273,0.016502133,0.014837279,0.015811954,0.014307437,0.016926728,0.018132543,0.01297386,0.014264324,0.015793784,0.013321756,0.018429331,0.0146175325,0.018498724,0.017255835,0.015224085,0.016329864,0.018898923,0.018198444,0.016259767,0.016459655,0.017378638,0.017448258,0.015202575,0.018228285,0.0145883085,0.015235238
