,,FISERV INC,KLA CORP,NINTENDO CO LTD,LAM RESEARCH CORP,TRIP COM GROUP LTD,SALESFORCE.COM INC,NETEASE INC,CERNER CORP,SKYWORKS SOLUTIONS INC,INTERCONTINENTAL EXCHANGE,MICROSTRATEGY INC,XILINX INC,ADVANCED MICRO DEVICES,ANSYS INC,MICRON TECHNOLOGY INC,LIVEPERSON INC,MERCADOLIBRE INC,ONTO INNOVATION INC,ASML HOLDING NV,NVIDIA CORP,BOOKING HOLDINGS INC,ALPHABET INC,ANALOG DEVICES,ADVANCED ENERGY INDS INC,BAIDU INC,EBAY INC,APPLE INC,CADENCE DESIGN SYSTEMS INC,ACTIVISION BLIZZARD INC,AMAZON.COM INC,TAIWAN SEMICONDUCTOR MFG CO,MARVELL TECHNOLOGY INC,CISCO SYSTEMS INC,8X8 INC,INTEL CORP,EXACT SCIENCES CORP,MICROSOFT CORP,ORACLE CORP,IDEXX LABS INC,PAYCHEX INC,AUTODESK INC,AUTOMATIC DATA PROCESSING,MAXIM INTEGRATED PRODUCTS,MICROCHIP TECHNOLOGY INC,DIODES INC,QUALCOMM INC,INTUIT INC,TEXAS INSTRUMENTS INC,POWER INTEGRATIONS INC,CHECK POINT SOFTWARE TECHN,ADOBE INC,APPLIED MATERIALS INC,SYNOPSYS INC,NETFLIX INC,FORMFACTOR INC,ELECTRONIC ARTS INC,MATCH GROUP INC,BROADCOM INC,IRIDIUM COMMUNICATIONS INC,SPS COMMERCE INC,TESLA INC,NXP SEMICONDUCTORS NV,PACIFIC BIOSCIENCES OF CALIF,PROTO LABS INC,FACEBOOK INC,SPLUNK INC,IOVANCE BIOTHERAPEUTICS INC,WORKDAY INC,FATE THERAPEUTICS INC,2U INC,TWITTER INC,JD.COM INC,ALIBABA GROUP HLDG,SQUARE INC,PURE STORAGE INC,ATLASSIAN CORP PLC,PAYPAL HOLDINGS INC,SHOPIFY INC,TELADOC HEALTH INC,INVITAE CORP,ALARM.COM HOLDINGS INC,ZILLOW GROUP INC,INTELLIA THERAPEUTICS INC,TWILIO INC,CRISPR THERAPEUTICS AG,OKTA INC,SPOTIFY TECHNOLOGY SA,DOCUSIGN INC,ROKU INC,SEA LTD - ADR,NIO INC -ADR,GUARDANT HEALTH INC,TWIST BIOSCIENCE CORP,BIONANO GENOMICS INC,UBER TECHNOLOGIES INC,ZOOM VIDEO COMUNICATIONS INC,PINDUODUO INC -ADR,PAGERDUTY INC,10X GENOMICS INC,PELOTON INTERACTIVE INC,4D MOLECULAR THER INC,VIR BIOTECHNOLOGY INC,BEAM THERAPEUTICS INC,ONECONNECT FIN TECH -ADS,RELAY THERAPEUTICS INC,KE HOLDINGS INC -ADR,UNITY SOFTWARE INC,PALANTIR TECHNOLOG INC,SEER INC,DOORDASH INC,ABCELLERA BIOLOGICS INC,OPENDOOR TECHNOLOGIES INC,QUALTRICS INTERNATION,SANA BIOTCHNOLOGY INC,VIEW INC,ROBLOX CORP,COINBASE GLOBAL INC
,,FISV,KLAC,NTDOY,LRCX,TCOM,CRM,NTES,CERN,SWKS,ICE,MSTR,XLNX,AMD,ANSS,MU,LPSN,MELI,ONTO,ASML,NVDA,BKNG,GOOGL,ADI,AEIS,BIDU,EBAY,AAPL,CDNS,ATVI,AMZN,TSM,MRVL,CSCO,EGHT,INTC,EXAS,MSFT,ORCL,IDXX,PAYX,ADSK,ADP,MXIM,MCHP,DIOD,QCOM,INTU,TXN,POWI,CHKP,ADBE,AMAT,SNPS,NFLX,FORM,EA,MTCH,AVGO,IRDM,SPSC,TSLA,NXPI,PACB,PRLB,FB,SPLK,IOVA,WDAY,FATE,TWOU,TWTR,JD,BABA,SQ,PSTG,TEAM,PYPL,SHOP,TDOC,NVTA,ALRM,Z,NTLA,TWLO,CRSP,OKTA,SPOT,DOCU,ROKU,SE,NIO,GH,TWST,BNGO,UBER,ZM,PDD,PD,TXG,PTON,FDMT,VIR,BEAM,OCFT,RLAY,BEKE,U,PLTR,SEER,DASH,ABCL,OPEN,XM,SANA,VIEW,RBLX,COIN
FISERV INC,FISV,0.015026737,0.01428103,0.015177991,0.015479467,0.016386312,0.016978037,0.016549831,0.012386169,0.012862415,0.013275278,0.015248973,0.016646318,0.014460777,0.015374978,0.01279062,0.014054332,0.011952769,0.010216297,0.01526454,0.016993992,0.01676865,0.014736965,0.014150209,0.010303428,0.013537327,0.015810873,0.017242998,0.014956609,0.017900743,0.015601751,0.014407604,0.014635225,0.012197451,0.0109174885,0.014031172,0.013529427,0.016914733,0.018166305,0.014578084,0.013043973,0.013666475,0.013746299,0.011396892,0.012440675,0.010201428,0.011157628,0.01629066,0.013934848,0.01497524,0.0155397365,0.015503805,0.011651435,0.01596276,0.018378148,0.012601711,0.014368221,0.018369837,0.017809615,0.014561563,0.011974943,0.013253192,0.011708311,0.01461337,0.011202395,0.015779836,0.013322171,0.010461865,0.014402181,0.010938322,0.013207571,0.016322777,0.017449673,0.013450274,0.01570211,0.01248137,0.013680487,0.018629966,0.013245299,0.015567949,0.018207533,0.014788982,0.013806675,0.014996823,0.0116336625,0.012842479,0.016918547,0.013279737,0.013142312,0.012591278,0.015978668,0.015862957,0.014806217,0.014228079,0.01949756,0.017452667,0.01882381,0.013446991,0.012914002,0.019308034,0.016452419,0.015526831,0.016779857,0.015073911,0.018909134,0.018717404,0.016278844,0.019301867,0.017194182,0.016763747,0.017726442,0.017682675,0.015614616,0.018371511,0.014891788,0.015591611,0.01544351,0.016067512
KLA CORP,KLAC,0.017127883,0.01607991,0.01746918,0.01788394,0.018904718,0.019457165,0.018973527,0.013529641,0.014544306,0.014792096,0.017164355,0.019058574,0.01648521,0.017726002,0.014873554,0.016045231,0.013146276,0.011662778,0.017119708,0.020038424,0.019348638,0.016363295,0.016740384,0.01140108,0.015486491,0.018181726,0.019831326,0.01678976,0.020955723,0.017198399,0.01633856,0.01672432,0.014037096,0.012331222,0.015987864,0.015645713,0.019375741,0.0208832,0.0164008,0.01423308,0.01544955,0.01535547,0.01268535,0.014122804,0.011366516,0.012091137,0.018382214,0.015916431,0.017093413,0.017536964,0.017449604,0.013068836,0.018045368,0.021382174,0.014337079,0.016585883,0.021666976,0.020414978,0.017033242,0.0131838815,0.015216473,0.013078183,0.016785724,0.012689529,0.017672256,0.015847161,0.011831564,0.016036388,0.012279582,0.01569509,0.018963883,0.019718995,0.015175293,0.017889146,0.01438661,0.014952641,0.021590387,0.014933344,0.018218745,0.021304391,0.016998835,0.016248249,0.017146556,0.013383531,0.014775699,0.019428825,0.015194653,0.015262578,0.014659431,0.017940842,0.018674525,0.016722972,0.015614612,0.02337458,0.019831512,0.021125982,0.015055602,0.014123445,0.021541178,0.017888427,0.017584188,0.019132592,0.01682656,0.021261765,0.021384183,0.018136352,0.021923563,0.01960378,0.018972106,0.020250384,0.020028673,0.017943546,0.020756928,0.016935972,0.017820975,0.017501442,0.01840021
NINTENDO CO LTD,NTDOY,0.017049782,0.01596968,0.01723651,0.017552808,0.018509205,0.019101113,0.018838633,0.013643605,0.014469053,0.0147401495,0.01735346,0.018709479,0.01631517,0.017255878,0.014608442,0.015868101,0.013370435,0.011572625,0.017120749,0.01941388,0.018898018,0.016366715,0.016018867,0.011580159,0.015432397,0.017751146,0.019476378,0.016717253,0.0203325,0.017373491,0.01630137,0.016568847,0.01373793,0.012477894,0.015684403,0.015336258,0.018877096,0.020353204,0.016422952,0.014296708,0.015452044,0.015302571,0.012817458,0.014024706,0.011426063,0.012467422,0.018061629,0.015537478,0.016904581,0.017442767,0.017271122,0.0130723985,0.017824776,0.020704754,0.014258464,0.016275635,0.020758858,0.019895272,0.016667891,0.01333566,0.015168253,0.013271339,0.01672346,0.012704515,0.017631782,0.015434081,0.011853132,0.016126534,0.0124328155,0.015355891,0.018563364,0.019667018,0.015176335,0.017755387,0.014243827,0.015226899,0.021047162,0.0148785105,0.017753268,0.02094974,0.016905533,0.015772412,0.01722669,0.013252313,0.01459598,0.019099534,0.015151304,0.015081253,0.014376302,0.017824512,0.018443923,0.016747985,0.016073376,0.022668647,0.019761484,0.021274773,0.015348798,0.014505652,0.021515595,0.018241813,0.017596541,0.01920275,0.017003916,0.021343838,0.021393018,0.018311009,0.02204223,0.019750122,0.018965615,0.02009696,0.019992352,0.017714549,0.020879177,0.01677923,0.01762718,0.017395476,0.018128743
LAM RESEARCH CORP,LRCX,0.020024102,0.0190031,0.02025357,0.020595694,0.02166159,0.022280524,0.021824958,0.016567463,0.017432818,0.017786248,0.020214815,0.021850638,0.019330459,0.02044693,0.017603813,0.018930981,0.016283916,0.014481794,0.0201233,0.022582898,0.022013156,0.0193937,0.01930037,0.014387027,0.018425997,0.02087482,0.022580815,0.0197601,0.023548929,0.02033363,0.019258732,0.019555291,0.016780777,0.015305756,0.018820921,0.018432284,0.022167819,0.023613216,0.019381255,0.017299414,0.01843183,0.01832647,0.01565077,0.017052686,0.0143090375,0.015289878,0.021246182,0.018676402,0.01993959,0.020419778,0.020375656,0.015961522,0.020966047,0.024008483,0.017223923,0.019314187,0.024138676,0.023131534,0.01978841,0.016221305,0.018148711,0.016127072,0.01965491,0.015608078,0.020661721,0.018501852,0.014741767,0.019136164,0.015354247,0.018353999,0.021720018,0.022683917,0.01814333,0.020816686,0.017281927,0.018149652,0.02427762,0.017919447,0.020903643,0.024010634,0.01982092,0.01893152,0.020130793,0.016273338,0.017625386,0.022324834,0.01808754,0.018115424,0.017444855,0.02095656,0.02143226,0.019727098,0.01889962,0.025792867,0.022742366,0.024175648,0.018159376,0.01727665,0.024620388,0.021171445,0.020475637,0.022084542,0.0198983,0.024307625,0.02424469,0.021154616,0.024806324,0.022505198,0.02188423,0.023059746,0.0229563,0.02072435,0.023648005,0.019773468,0.020640392,0.020368058,0.021169549
TRIP COM GROUP LTD,TCOM,0.013252754,0.012563852,0.013593364,0.013978287,0.014842365,0.015397118,0.014917066,0.01042748,0.011104243,0.011383957,0.013289538,0.014988008,0.012773048,0.013846206,0.011216993,0.012325651,0.009959124,0.008472276,0.013461379,0.015708758,0.015308058,0.012852717,0.01275881,0.008428529,0.011771959,0.014279,0.015682861,0.013106415,0.016560927,0.0136145605,0.012668286,0.012937758,0.010506067,0.008984236,0.012359481,0.011886648,0.015321758,0.01663858,0.012744121,0.011059546,0.011802724,0.011873984,0.009471277,0.010671652,0.008283038,0.009019917,0.014595595,0.012307191,0.0132609485,0.013724697,0.013731846,0.009881781,0.014236489,0.01700644,0.010840032,0.012789661,0.017153487,0.016320422,0.012935817,0.00999595,0.01152538,0.0097451275,0.012856834,0.009371799,0.01396071,0.011838104,0.008567902,0.0123953,0.008915878,0.011739324,0.014744259,0.015773937,0.011597702,0.0139582325,0.0107428795,0.011558451,0.01718738,0.011420049,0.014102387,0.016685156,0.013068189,0.0123396525,0.0131412065,0.009875877,0.011108589,0.015274516,0.01152862,0.011496581,0.010959693,0.01412456,0.014301873,0.012950108,0.012036529,0.018312844,0.015728401,0.017007183,0.011511783,0.010859468,0.017416507,0.014308154,0.0137020685,0.014979505,0.013087832,0.016977783,0.016982714,0.014350326,0.017547552,0.0154277375,0.014935595,0.016051399,0.015867582,0.013984452,0.016592877,0.013140074,0.0138961,0.013663647,0.014422033
SALESFORCE.COM INC,CRM,0.016774831,0.01590218,0.017077284,0.017451936,0.018410217,0.018986575,0.01845159,0.013629106,0.01444069,0.014784299,0.016845861,0.018662296,0.016240165,0.01739733,0.014618056,0.015825717,0.013193893,0.011689516,0.016882777,0.019366385,0.01884874,0.016242787,0.016439263,0.011496974,0.015214868,0.017811863,0.019314857,0.016622808,0.0202673,0.017051527,0.016076857,0.016398292,0.013951511,0.01232109,0.015833082,0.01539586,0.019035354,0.020361472,0.01618343,0.01436764,0.015301879,0.015306483,0.012729521,0.014036862,0.011520515,0.01226377,0.01815227,0.015778234,0.01680314,0.017231809,0.01724018,0.013063384,0.017784733,0.020775367,0.014224683,0.016271481,0.020998428,0.019922798,0.01666025,0.013242365,0.014953637,0.013094971,0.016392266,0.012664528,0.017409377,0.015423056,0.011855981,0.015914453,0.012295026,0.015220255,0.018451873,0.019226873,0.015034061,0.017527862,0.014200411,0.014943221,0.02095939,0.014830112,0.017708706,0.02050665,0.016622996,0.0158829,0.016705096,0.013281955,0.01455658,0.01895272,0.014937098,0.014976182,0.014446429,0.017704407,0.017993007,0.016432034,0.015468479,0.022248337,0.019282522,0.02052321,0.014841864,0.0140786925,0.021097403,0.017739087,0.017166572,0.01852605,0.016549282,0.02070497,0.020589914,0.01777996,0.021101493,0.018911712,0.018477775,0.019631388,0.01948793,0.017474383,0.020106517,0.016612938,0.017404625,0.01714689,0.01795204
NETEASE INC,NTES,0.017844032,0.017107842,0.018126786,0.018495012,0.019501578,0.020127747,0.019500699,0.014905724,0.0155667495,0.01598945,0.017900027,0.019725922,0.017328404,0.018493598,0.0156298,0.016929908,0.01445349,0.01278015,0.018075954,0.020311821,0.019917473,0.017497592,0.017388728,0.012695246,0.016324485,0.018888222,0.020357154,0.017778818,0.021261945,0.018304374,0.017189471,0.017461713,0.014992506,0.013371852,0.01697431,0.016452914,0.020158857,0.021459015,0.017324831,0.015649319,0.016396366,0.016477242,0.01385226,0.015182498,0.0126503445,0.0134860175,0.019349515,0.016894192,0.017864618,0.018326862,0.018423714,0.0142243765,0.018964207,0.021809932,0.015311935,0.01730514,0.0219548,0.021065237,0.01758622,0.014458677,0.01604168,0.014197163,0.017397674,0.013769997,0.018622963,0.016326185,0.012945126,0.017097536,0.01342096,0.016148917,0.019456182,0.02042722,0.016149297,0.018640436,0.015274844,0.016196426,0.021984162,0.01601279,0.018720658,0.021384843,0.017586501,0.016899532,0.017727971,0.014369279,0.015634244,0.020085922,0.016009372,0.016013457,0.015471848,0.018911153,0.01887676,0.01756598,0.016679827,0.022968916,0.020399407,0.021696337,0.015978634,0.015298064,0.022330802,0.019077355,0.018239684,0.019583734,0.017711367,0.021803617,0.021604028,0.018935937,0.022122575,0.019926837,0.019564036,0.02068712,0.020574413,0.018546045,0.021141395,0.01771275,0.018488757,0.018256303,0.01903019
CERNER CORP,CERN,0.016604815,0.015473056,0.016692022,0.017014993,0.018042842,0.018512774,0.018295392,0.013156997,0.013994544,0.014156711,0.016662953,0.017951002,0.015724419,0.016665181,0.01422765,0.015336555,0.012962309,0.011357326,0.01647544,0.018880965,0.018364096,0.015784211,0.015298908,0.011339274,0.015146867,0.017151954,0.0187533,0.016011532,0.019791117,0.016660258,0.015718827,0.016079884,0.013252972,0.012088839,0.015128648,0.014928863,0.018028755,0.019592375,0.01586217,0.013612962,0.014802499,0.014648531,0.012363244,0.013640321,0.011019209,0.011951863,0.017276872,0.014898213,0.016279131,0.016788881,0.016569335,0.01270022,0.017088814,0.019964429,0.013780261,0.015803767,0.019990055,0.019209864,0.015979363,0.012906565,0.014830417,0.012685252,0.016251368,0.012414589,0.017026369,0.015095743,0.011637065,0.015466209,0.012160773,0.015213782,0.01799527,0.019132664,0.014667136,0.01716723,0.013899133,0.014593105,0.020246087,0.014421132,0.017359164,0.020318786,0.016299298,0.015401397,0.016832247,0.012950663,0.014353047,0.018538978,0.014829552,0.014673002,0.014020181,0.017114233,0.018085279,0.01623357,0.015554818,0.0221749,0.019308329,0.020668961,0.014904566,0.0140341595,0.020633893,0.017514098,0.017226793,0.018926004,0.016598472,0.020594405,0.021064077,0.017791513,0.021644004,0.019486811,0.018571548,0.01967435,0.019502202,0.01743227,0.020324858,0.016403623,0.017265975,0.017011907,0.017718805
SKYWORKS SOLUTIONS INC,SWKS,0.015699426,0.01458788,0.015868727,0.016221626,0.017203085,0.017748518,0.017413702,0.012316041,0.01312485,0.013417655,0.015899783,0.01743557,0.014966727,0.015996575,0.013292177,0.014514627,0.011910642,0.010298042,0.01567901,0.018119473,0.017628882,0.014994096,0.014825986,0.010197059,0.014018933,0.016509682,0.018155947,0.015367483,0.01905075,0.015919453,0.014879136,0.015247882,0.012538827,0.011112446,0.014390907,0.014044659,0.01759505,0.019092783,0.015017788,0.012970736,0.014055463,0.0139788985,0.011484785,0.012656964,0.010136682,0.011017815,0.016773205,0.014297971,0.015580221,0.016160239,0.015941735,0.0117322765,0.016463757,0.019437894,0.012906442,0.014992435,0.019559745,0.018633282,0.01535791,0.011995062,0.013713037,0.011836388,0.015359117,0.01136071,0.016243571,0.014124189,0.010581846,0.014729025,0.011051242,0.014024414,0.017252626,0.018172286,0.013799924,0.016353333,0.012868458,0.013801573,0.019729666,0.013488555,0.01644598,0.019593865,0.015554873,0.014462927,0.015784737,0.011899944,0.01329323,0.017698944,0.013767304,0.0136618735,0.013056269,0.016449463,0.017027574,0.0153301805,0.014537129,0.02138771,0.018355599,0.019750522,0.013813755,0.0130340215,0.020079076,0.016737094,0.016281554,0.0177697,0.015599316,0.019915868,0.020013092,0.016921012,0.020626072,0.018313086,0.017636878,0.018775217,0.018635798,0.016414983,0.019479712,0.015514533,0.016337486,0.016112532,0.016872888
