,job_1_cross,job_2_cross,rp_1_cross,rp_2_cross,rp_4_cross,rp_5_cross,rp_3_cross,rp_6_cross,rp_7_cross,job_1_serial,job_2_serial,rp_1_serial,rp_2_serial,rp_4_serial,rp_5_serial,rp_3_serial,rp_6_serial,rp_7_serial
job_1_cross,0.001878161,-0.0051264586,0.014531964,0.006781801,0.0030819182,-0.0008988067,-0.0037096317,-0.002962558,-0.003311268,-0.0024126542,-0.0014655688,0.0043120664,-0.0018842769,0.0006063265,-0.006078717,-0.0038928965,-0.0054353303,-0.0030855588
job_2_cross,-0.001664098,-0.00045311503,0.0027254128,0.0017092853,1.8650884e-05,-0.000719563,0.0005959333,0.00027802854,0.0004966567,0.00027435034,-0.00091857376,-0.0021390517,0.0012845026,-0.00036661426,-0.000708912,0.00037586322,0.00035081262,0.00030038104
rp_1_cross,0.00041847175,-0.0037527638,0.0053862114,-0.005452326,0.0022308507,0.0016563424,0.0017652751,-0.0011065032,2.6200258e-05,-0.0008005591,0.0005628483,0.00515008,0.0038051805,0.0011311002,-0.003008189,-0.0017202876,-0.0012256766,0.0013893468
rp_2_cross,-0.00082052406,-0.00021726172,0.005888303,0.004223038,-0.0011147077,-0.00042045323,-0.0001527906,0.0015204968,0.0017385765,0.0008967817,-0.0036360328,-0.0021529978,-0.0025402494,-0.0020544322,-0.0015524875,0.00064022565,-0.00013994743,0.0039301817
rp_4_cross,-0.0023266682,-0.00034465268,-0.0009993361,0.0029795663,0.0019352507,0.0019503067,0.0016920527,0.0035899705,0.004209476,-0.00018794852,-0.0003305932,-0.0012434984,-0.0045548566,0.0034574578,0.00058466825,0.0023581164,0.0009773967,0.0028523938
rp_5_cross,0.00088302535,-0.0017680831,0.0034295218,0.001100268,0.00055944454,0.0005463482,0.0013374068,-0.00062771176,0.00014302862,0.0003126628,-0.00061691774,0.0041932603,0.0015707281,0.0012044647,-0.0012927732,-0.000813679,-0.001436451,0.0017919522
rp_3_cross,7.935538e-05,6.4501655e-06,-0.009069301,-0.004595726,2.2879947e-05,0.0013310105,0.0024113536,-0.00073767116,0.0005381708,0.00038696185,-0.0003610578,0.0006852851,0.0021594616,0.00021232746,0.0057604704,0.0010985718,0.0007035793,-0.0015089584
rp_6_cross,0.001117648,-0.004974185,0.0023356746,0.0040055984,0.0012261083,-0.0002470081,0.00024003,-0.0016701033,0.0002604964,0.00072489143,-0.0023589863,-0.0013839239,0.0028589522,0.0023569064,0.0007811253,-0.00024244847,-0.00066264486,-0.0012152517
rp_7_cross,0.0017446377,-0.0028907042,0.004708309,0.0015973132,0.001373286,-1.191051e-05,0.000745151,-0.0037303595,-0.0029522248,-0.0008943379,-0.0014820346,0.0077230767,0.0028998246,-9.1472466e-05,-0.00021710305,-0.0027067722,-0.004594935,-0.002388906
job_1_serial,1.103204e-05,0.0029202232,0.0031480915,0.005438748,-0.0008583234,-0.0013973848,-0.0035627214,0.0024788743,0.00025019574,-0.00020977056,0.0014112785,-0.003515241,-0.00594338,0.00020973099,-0.0039427504,0.00040671445,0.00085206825,0.0014582155
job_2_serial,0.0029119633,0.0008235632,0.002616927,-0.00015482598,-0.000392507,-0.0017233548,-0.0018495854,-0.001884319,-0.0031875095,-0.00016450975,0.00092865713,0.0033020766,0.0017952065,-0.00045106644,-0.0031499173,-0.002002513,-0.0017574318,-9.6630945e-05
rp_1_serial,0.00036897667,-0.0043857833,0.006535194,0.012623589,0.0012703558,-0.0007996112,0.0012061617,-0.0016438883,0.0002038519,0.0008116505,-0.004287005,0.0024248322,0.00069425895,0.002889307,0.00056544936,-0.0004088184,-0.0035804317,-0.00044013874
rp_2_serial,0.00012291735,-0.0009860134,-0.0027166735,-0.0082179895,-0.0015570555,-2.5362242e-05,0.001642222,-0.002542074,-0.0013951259,0.00079568895,4.549511e-06,-0.00036860805,0.00718268,-0.0030893888,0.0022577692,-0.0007614119,0.0013182652,-0.0016324243
rp_4_serial,-0.0014823218,-0.0024728524,0.0045678173,0.0037483112,0.0020331312,0.0008562023,-0.0020053918,0.001560204,0.001708997,-0.0013291452,-0.0007431526,-0.0036799873,-0.005233034,0.0011743708,-0.0015232638,0.00036187214,-4.112639e-05,-0.0009800559
rp_5_serial,0.0032889466,-0.0031677985,0.007521076,0.010681672,0.0002877445,-0.002094936,-0.0030370294,-0.0051654517,-0.0051154518,-0.0008751445,-0.0027678323,0.005286956,-0.00029661367,-0.0007466274,-0.00030551548,-0.0036061516,-0.006164183,-0.00586165
rp_3_serial,0.0011436365,-0.0013469986,0.0013454226,-0.002236097,0.00027096126,0.0007523389,0.00013681469,-0.00021149509,0.00041524094,-1.4643621e-05,-0.0027401643,0.0011624808,-0.00070513994,-0.0015206443,0.00026063243,-0.00024074496,-0.0009784086,0.0020102472
rp_6_serial,0.00034764508,-0.0016917667,0.0047394917,0.0072934427,0.0011226442,-0.00087057264,-0.00039242368,0.0007668473,0.0010826198,0.00040218723,-0.0033503058,-0.0010039989,-0.0020197802,0.0016303066,-0.001459901,0.00054227386,-0.001498266,0.0023289311
rp_7_serial,0.0015814997,-0.0028141497,0.0020521916,0.0038993382,-1.3885408e-05,-0.00023785114,-0.00080116943,-0.0031869437,-0.002286148,-0.00019735898,-0.00064102956,0.0026893578,0.0013743066,9.618254e-05,0.0013214,-0.0018614396,-0.002360047,-0.0042004953
