,pr_1m_0m,mv,btm,mom_12m_1m,ram_12m_0m,vol_3m,res_mom_12m_1m_0m,res_vol_6m_3m_0m,asset_turnover,gpa,rev_surp,cash_at,op_lev,roe,std_u_e,ret_noa,etm,ia_mv,ae_m,ia_ta,rc_a,r_s,r_a,fred_ff,t3m,t6m,t2y,t3y,t5y,t7y,t10y,aaa,baa,snp500_pr,wilshire500_pr,ted,t1y_ff,t5y_ff,t10y_t2y,aaa_t10y,baa_t10y,aaa_ff,baa_ff,core_cpi,core_pce,core_ppi,cpi,pce,ppi,trimmed_pce,unemploy,retail_mfr,m1,m2,export_growth,import_growth,real_gig,real_pig,federal_tg,real_gdp,corporate_tg,industrial_prod,home_pr,wti,capa_util,snp500_pe,snp500_vol
Dec-17,-0.026832774,0.39562577,-0.24772447,-0.21628548,-0.2402464,-0.5760643,0.12,-0.6760936,0.5966695,0.83649224,0.67334515,0.6985618,0.21334884,-0.2757641,-0.09338964,-0.38046852,-0.031462062,-0.13140604,0.110916264,0.65769947,0.07252999,0.06444542,0.29188713,-0.08023892,-0.12893069,-0.030369064,0.27071977,0.3326719,0.48741078,0.51412183,0.49965957,0.32323286,-0.12478792,-0.006374245,-0.015887571,0.26078174,0.71274114,1.025483,0.97070676,-0.8596652,-1.1064504,0.5421373,-0.010798906,-1.8183424,0.029287724,-1.8055636,0.93286043,0.09891446,1.4011186,-1.9307268,-0.344617,-0.5126157,-0.25145978,-0.43992797,0.568816,0.7246146,-2.532077,0.505658,0.35177487,0.33006015,0.48586315,0.123995945,0.58617955,0.48025867,0.29240015,0.3939473,-1.3272886
Jan-18,0.73829645,0.43915474,-0.31378964,0.10637873,0.10402249,0.2114533,0.52292037,-0.41813755,0.5985309,0.836047,0.6771255,0.69700545,0.21282606,-0.27501988,-0.09403107,-0.3798559,-0.026631327,-0.2877984,0.014260249,0.65796834,0.064241044,0.06047327,0.29207048,-0.08023892,-0.069727816,0.10773026,0.50102055,0.61215085,0.7795095,0.8287427,0.84033656,0.5513972,0.089134224,0.8630979,0.74026287,0.074877925,1.1178782,1.5599643,1.4054868,-1.4244088,-1.471293,0.831993,0.19977976,-1.6630911,0.09837067,-1.774611,-0.0023866186,0.10482184,-0.40648803,-1.9307268,-0.344617,-0.38887078,-0.54437184,-0.33008614,0.96103436,0.92719275,-1.3973703,0.37147844,0.35177487,0.38704893,0.48586315,0.45683417,0.6466155,0.06548678,0.507816,1.0995245,-1.2934564
Feb-18,0.60600555,0.45543438,-0.3435676,0.37600482,0.3930736,0.23390895,0.5345859,-0.5880923,0.59518754,0.83595854,0.70005035,0.7050541,0.21669716,-0.2823958,-0.79075104,-0.38400567,-0.03384224,-0.3629139,-0.020152261,0.65542895,0.06681766,0.06525573,0.2927421,-0.08023892,0.19076478,0.3378958,0.6475756,0.77776796,0.94642305,1.0240246,1.0333868,0.9620931,0.53343403,-0.9214688,-0.8861077,-0.11102589,1.7931067,1.8653822,1.5685292,-1.0479131,-1.2566798,1.3537331,0.63713545,-1.472676,-0.07800717,-1.712706,1.4492811,-0.08400076,0.73360753,-1.9307268,-0.344617,-0.9690865,-0.13514175,-0.67322886,0.96103436,0.92719275,-1.3973703,0.37147844,0.22216451,0.38704893,0.011630438,-0.06717375,0.60019743,0.49360862,0.40972102,0.35866842,-0.948731
Mar-18,0.3707004,0.46937287,-0.3752306,0.41936126,0.4371892,0.22161423,0.3866136,-0.4247984,0.5999435,0.8400566,0.6852361,0.7048497,0.22143212,-0.29145843,-0.7640891,-0.4079616,-0.03810581,-0.3933895,-0.051942382,0.65237653,0.061867267,0.055531263,0.29261863,0.21779136,0.26180822,0.39543718,0.6475756,0.7363637,0.83167,0.8612897,0.8516925,0.84040546,0.5992563,-0.6951693,-0.592269,1.1903008,0.9490711,1.1591033,0.69896924,-0.8596652,-0.89183724,0.69672704,0.28077155,-1.3700597,0.1095791,-1.6817534,-0.0015568612,0.05389341,-0.4050448,-1.6770546,-0.344617,-0.026870657,-0.88738054,-0.5360366,0.5157967,0.7082759,-1.3973703,0.37147844,0.39489332,0.38704893,-1.08045,0.41650438,0.49314457,-0.17926794,0.5660053,0.25283185,-0.7925634
Apr-18,0.6129965,0.4804288,-0.40811455,0.60827863,0.66900873,-0.6392604,0.58603334,-0.071270384,0.59983045,0.8404873,0.6863231,0.7043452,0.2221302,-0.2868006,-0.7605936,-0.40935424,-0.039042823,-0.46347943,-0.09613657,0.6506138,0.055333715,0.05696757,0.2934473,0.24071677,0.3565328,0.49901167,0.87787646,0.9744383,1.0820403,1.1216656,1.1015222,1.0229369,0.8131784,-0.1398108,-0.1337809,0.91144514,1.3879696,1.5790529,0.69896924,-1.1232122,-1.0206052,0.8899641,0.45895353,-1.2707608,0.014470115,-1.5269909,-0.84348774,0.023677586,0.13493899,-1.085153,-0.344617,-0.58058476,0.054444823,-0.32805994,0.702768,1.1494313,-0.76697767,0.7441993,0.39489332,0.5010266,-1.08045,-0.40011728,0.27541783,-0.009937487,0.5391052,0.041158672,-0.6958505
May-18,-0.56839556,0.4485359,-0.37955466,0.5444054,0.6055794,-0.07917078,-0.59631103,-0.11247485,0.6017082,0.84281844,0.6669116,0.69842684,0.22879091,-0.2868992,-0.76399344,-0.41209963,-0.043632675,-0.36686787,-0.038724374,0.6593928,0.06750572,0.060954064,0.29210526,0.24071677,0.49861968,0.56806135,0.8045989,0.8812787,0.94642305,0.9806286,0.96525145,0.9468821,0.7967228,0.2145574,0.26693246,0.58611345,1.3542082,1.3309009,0.42723176,-0.8596652,-0.78453064,0.7933456,0.44275516,-1.2154719,0.032865427,-1.3103232,0.27845085,0.10591355,-0.18941402,-1.4233825,-0.41470858,-0.069860354,-0.56494516,-0.46998915,1.0065928,0.9221798,-0.76697767,0.7441993,-1.7382838,0.5010266,-0.2869344,0.07792278,0.48311004,0.25173968,0.5324273,-0.029399052,-0.6798839
Jun-18,0.6253987,0.4730699,-0.46117157,0.57424945,0.64561856,-0.0030575008,0.4264506,-0.5403477,0.83818954,0.9333617,0.72637796,0.704962,0.510875,-0.6759574,-0.78761935,-0.7232989,-0.2673705,-0.18451613,0.13981359,0.78774565,0.28170595,0.09210526,0.41706783,0.48143354,0.48677912,0.60258615,0.9092811,0.9537362,1.0090157,1.0023266,0.96525145,1.007726,0.9448228,-0.099972054,-0.093573704,0.58611345,0.98283255,1.0445716,-0.116243266,-0.7090669,-0.5913787,0.46484253,0.24837485,-1.1183845,-0.012261561,-1.1865132,0.23066604,-0.0526131,0.99938065,-0.49325138,-0.4497544,0.76454675,-0.5904947,-0.25741073,1.028273,0.7933032,-0.76697767,0.7441993,-1.8995705,0.5010266,0.89067584,0.019990237,-0.45236817,0.252765,0.49615666,0.041158672,-0.67591727
Jul-18,-0.14995666,0.46162486,-0.46132597,0.7096612,0.84638524,-0.12808368,-0.1790967,0.0072260136,0.83809793,0.9321986,0.73599803,0.70431393,0.51079375,-0.67679745,-0.7977491,-0.72569,-0.268557,-0.17380026,0.14503817,0.7833103,0.2767857,0.084537886,0.41315272,0.48143354,0.628866,0.71766895,1.0558362,1.1297044,1.1342008,1.1433636,1.1242341,0.97730404,0.9119117,0.4849498,0.40808007,0.12135388,1.3204467,1.273635,-0.116243266,-1.3114601,-0.93475986,0.4261951,0.21597813,-1.0263838,-0.1284139,-1.0627031,-0.08667235,-0.04673646,-0.027926888,-0.49325138,-0.37966278,0.14682087,-0.44305596,-0.18811935,1.2545519,0.8685389,-0.76697767,0.5652933,-1.8995705,0.47253215,0.89067584,0.18896803,-0.12510924,-0.2177724,0.5325081,0.041158672,-0.661485
Aug-18,0.7043412,0.48920682,-0.47935867,0.70320773,0.83378017,-0.15319733,0.44517067,-0.3620172,0.83760077,0.93250144,0.782023,0.6895425,0.51004815,-0.67584723,-0.82557374,-0.72637236,-0.24556513,-0.27709278,0.1,0.78105557,0.26655537,0.08183807,0.40952796,0.49289626,0.69990945,0.7867186,1.0348997,1.077949,1.0298798,1.0131756,0.98796326,0.9620931,0.8131784,0.37692276,0.40521228,-0.25045377,1.421731,1.0636603,-0.6597183,-0.8973148,-0.80599195,0.3875477,0.10258961,-0.8881614,0.014279652,-0.876988,0.08131453,0.013362491,0.13250421,0.7751093,-0.41470858,0.11819959,-0.40217075,-0.46104184,1.0211933,0.91698694,-0.76697767,0.5652933,-1.1606307,0.47253215,0.9821411,0.13656692,-0.4392267,0.19573127,0.5492028,0.18227412,-0.673337
Sep-18,-0.40759784,0.48880234,-0.46266094,0.7366321,0.84929895,0.12882118,-0.6197868,0.4134452,0.83723557,0.9315611,0.79081136,0.6924683,0.5055473,-0.67391306,-0.8308932,-0.72944,-0.25212464,-0.26517573,0.115435645,0.77914673,0.26459357,0.08286334,0.40653595,0.7909266,0.78279346,0.89029306,1.2337959,1.2539172,1.2489539,1.2301555,1.2150812,1.0837808,1.0271006,-0.11025441,-0.23393579,-0.4363576,0.91530967,0.96821713,-0.60537076,-1.3491096,-0.9562212,0.039720956,-0.107989065,-0.84149754,0.06192313,-0.81508297,0.28627247,0.074605756,-0.028057532,0.94422406,-0.41470858,-0.05234812,-0.12177822,-0.28373513,0.87515444,1.0601931,-0.76697767,0.5652933,-1.1606307,0.47253215,0.9821411,0.11533377,-1.0118091,-0.27757037,0.5553691,0.18227412,-0.6673375
