,pr_1m_0m_cross,mv_cross,btm_cross,mom_12m_1m_cross,ram_12m_0m_cross,vol_3m_cross,res_mom_12m_1m_0m_cross,res_vol_6m_3m_0m_cross,asset_turnover_cross,gpa_cross,rev_surp_cross,cash_at_cross,op_lev_cross,roe_cross,std_u_e_cross,ret_noa_cross,etm_cross,ia_mv_cross,ae_m_cross,ia_ta_cross,rc_a_cross,r_s_cross,r_a_cross,fred_ff_cross,t3m_cross,t6m_cross,t2y_cross,t3y_cross,t5y_cross,t7y_cross,t10y_cross,aaa_cross,baa_cross,snp500_pr_cross,wilshire500_pr_cross,ted_cross,t1y_ff_cross,t5y_ff_cross,t10y_t2y_cross,aaa_t10y_cross,baa_t10y_cross,aaa_ff_cross,baa_ff_cross,core_cpi_cross,core_pce_cross,core_ppi_cross,cpi_cross,pce_cross,ppi_cross,trimmed_pce_cross,unemploy_cross,retail_mfr_cross,m1_cross,m2_cross,export_growth_cross,import_growth_cross,real_gig_cross,real_pig_cross,federal_tg_cross,real_gdp_cross,corporate_tg_cross,industrial_prod_cross,home_pr_cross,wti_cross,capa_util_cross,snp500_pe_cross,snp500_vol_cross,pr_1m_0m_serial,mv_serial,btm_serial,mom_12m_1m_serial,ram_12m_0m_serial,vol_3m_serial,res_mom_12m_1m_0m_serial,res_vol_6m_3m_0m_serial,asset_turnover_serial,gpa_serial,rev_surp_serial,cash_at_serial,op_lev_serial,roe_serial,std_u_e_serial,ret_noa_serial,etm_serial,ia_mv_serial,ae_m_serial,ia_ta_serial,rc_a_serial,r_s_serial,r_a_serial,fred_ff_serial,t3m_serial,t6m_serial,t2y_serial,t3y_serial,t5y_serial,t7y_serial,t10y_serial,aaa_serial,baa_serial,snp500_pr_serial,wilshire500_pr_serial,ted_serial,t1y_ff_serial,t5y_ff_serial,t10y_t2y_serial,aaa_t10y_serial,baa_t10y_serial,aaa_ff_serial,baa_ff_serial,core_cpi_serial,core_pce_serial,core_ppi_serial,cpi_serial,pce_serial,ppi_serial,trimmed_pce_serial,unemploy_serial,retail_mfr_serial,m1_serial,m2_serial,export_growth_serial,import_growth_serial,real_gig_serial,real_pig_serial,federal_tg_serial,real_gdp_serial,corporate_tg_serial,industrial_prod_serial,home_pr_serial,wti_serial,capa_util_serial,snp500_pe_serial,snp500_vol_serial
pr_1m_0m_cross,0.07383089,0.024742525,0.007872614,-0.018164327,0.027881345,-0.016116675,0.020623174,-0.013293994,0.02410322,0.015045393,0.008963585,0.018707335,-0.045192637,0.02185036,0.04161248,0.013952583,0.011199347,-0.0022082787,0.008769675,-0.02060501,-0.01036453,0.0028992447,0.011393443,-0.014475895,-0.019414626,-0.012922724,0.004430789,-0.013345073,-0.007816544,-0.009001291,-0.0013094661,0.010104182,0.0067772227,0.00045487913,0.0087054465,0.012570387,-0.0015495138,-0.017717786,0.013952954,0.012192521,0.008874797,-0.011803819,0.008532604,-0.0030763762,0.025544489,-0.014461051,0.007293143,0.02571229,-0.001466559,0.0058552134,-0.0006125986,0.0036728478,-0.006205476,-0.0038038013,0.0030255374,-0.009446102,-0.01119245,-0.020995297,0.0078983735,-0.017027281,0.009688192,0.03159488,0.012377269,-0.022997476,0.007061643,-0.012666983,-0.01715441,0.15852135,0.02512331,-0.034118336,-0.016119465,0.09317469,-0.087425955,0.050798457,0.0046148864,0.02948695,-0.017294394,-0.0076175276,0.029261345,-0.024564637,-0.008347438,-0.026677309,-0.008842397,-0.032176428,-0.004327733,-0.00528146,0.011553505,-0.034877364,0.039341636,0.0030254822,-0.0071533485,-0.013463041,-0.009755804,-0.017922448,-0.025621193,0.006608405,0.007813606,0.0083652055,0.035236966,0.01918941,-0.0026605427,-0.0037828535,0.036433864,-0.0071742507,0.015993526,0.008180203,-0.0017371785,0.01635989,-0.002559274,0.0074452073,-0.013220122,0.016004236,0.0015625118,0.0035191495,0.022838825,-0.010768144,-0.019206984,0.008672969,-0.008181239,-0.028672587,-0.01672176,0.0041848826,0.0056595765,-0.023255339,-0.020909173,0.027291998,-0.007067742,0.02342425,0.01740551,0.048657846,-0.040721513,-0.016551727,-0.026497161,-0.015304373
mv_cross,0.042937085,-0.0015553725,-0.008204861,-0.018615626,0.03508749,-0.012636518,-0.013985687,-0.007866285,0.0013815963,0.019515384,0.018227328,0.004883351,-0.020445243,0.013353379,0.0123798605,0.011326657,0.0048778434,-0.00068309705,0.009536647,-0.017193343,-0.004321725,-0.008137782,-0.0003605947,-0.002000472,0.0074092844,0.009276483,0.006377427,0.003392989,0.0043952973,0.008971788,-0.0009712671,-0.004558603,-0.015184026,0.015046115,0.014803243,-0.01007359,0.010328959,0.0048319483,0.0068488806,0.016574955,0.0041933614,-0.008522732,-0.004970154,-0.0005651568,0.013777766,0.0011585078,-0.0008588014,1.3401499e-05,0.00013006316,0.0030093845,-0.003789111,0.0071327263,-0.023957277,-0.008043075,0.020646647,-0.004114257,-0.011246801,-0.02477609,0.0016709781,-0.012601352,0.03782395,0.008367931,-0.0012702418,-0.015483151,-0.007655701,0.0010266167,-0.015493316,0.15722796,-0.012264989,0.0071790707,-0.05698569,0.022729417,-0.017751193,-0.020811915,0.017556595,0.016082404,-0.010490808,0.03593258,0.001332316,-0.013508336,0.009942829,0.004365697,-0.0008308331,-0.02603007,-0.0002990868,0.002743533,-0.0442997,-0.03730813,0.0032401613,-0.0037880745,0.0022401293,-0.001632351,0.007045163,-0.0016616515,0.000983074,0.010755038,0.016545799,0.01570808,0.0050736372,-0.013671058,0.031847443,0.031871457,-0.016082492,0.010719597,-0.0025924677,-0.0015042387,-0.009748049,-0.001904829,-0.0016280381,-0.00817667,-0.0051586176,0.008358339,0.005490994,0.005448195,0.0022245864,0.008669308,-0.007178674,-0.0047302735,-0.015831318,-0.028117642,-0.021162534,0.016162056,0.004560369,-0.012476662,-0.014909829,0.0008982152,-0.0059337793,0.051497754,-0.0015903581,0.011636822,-0.020164784,-0.0008144153,-0.004128881,-0.02023336
btm_cross,0.009604463,0.01012713,-0.006374902,0.0068420237,0.014293198,-0.0019725694,-0.0032377522,0.0036524609,-0.0018326985,0.014419146,0.009960244,0.015026222,-0.012275698,0.022677653,0.013245488,0.00719391,0.0067445366,0.0019761156,0.0039041808,-0.0046065515,0.0012246255,-0.00030204107,0.00027991273,-0.0036528225,-0.01867047,-0.015260379,-0.0060681864,-0.010943588,0.0015850075,-0.0028107858,-0.00636756,0.0040593804,0.0056850864,-0.007663362,-0.0064312792,0.00068429776,0.011360433,-0.0072003454,0.0056464183,-0.0019454029,0.011502144,0.0016502023,0.0051988214,-0.013516919,0.0029835112,-0.0047336863,-0.0040460275,0.006512117,-0.005172,-0.002034224,-0.0010190199,-0.0008887239,0.005630184,0.0061664158,-0.008851962,-0.014316796,-0.0023747063,0.002293162,-0.00016103615,-0.0029725428,0.00023797993,-0.0003915655,0.011197178,-0.0019073947,0.005780293,-0.0060979626,0.0019074866,0.02776881,0.012438027,-0.031814504,-0.008443872,-0.0019808044,-0.0012889521,0.00064494414,0.001471042,0.0026338645,0.016028596,0.016620982,0.010334239,0.0034168162,0.03558066,-0.005514217,-0.0017246146,-0.0037023749,-0.006629379,-0.0025584744,-0.021806896,-0.023679627,0.016016578,-0.009799695,-0.0017602078,-0.0012768301,0.0033486357,-0.0034181557,0.0028815577,-0.012369132,0.0067839,-0.008716514,0.01462193,0.0053259707,-0.0071772006,-0.010613124,0.0008995483,0.0070660184,0.008237481,0.0018909314,-0.004679553,0.00041036773,-0.00093217473,-0.00030095235,-0.014757722,0.0051338784,0.0032871985,-0.0051944857,0.0058798147,-0.0045155883,-0.0018722159,-0.0023150272,-0.00088433817,-0.0021727618,0.00111364,-0.0039987694,-0.015492902,-0.0038646641,-0.0070351223,-3.7712452e-05,0.0077309003,0.00999742,-0.0007055593,0.015892768,-0.0014359683,0.0002273664,-0.007470756,0.0021694507
mom_12m_1m_cross,0.013781723,-0.002147507,0.007273955,0.001452188,-0.018243749,0.012854475,-0.0030848598,0.01850478,-0.0108880615,-0.015710495,-0.008610961,-0.011999847,0.007583073,-0.013985634,-0.0036091455,-0.005455845,-0.005269291,-0.0013906338,-0.0046743513,-0.007031929,0.0019264764,-0.011735902,-0.003712076,-0.010613619,0.0025284246,0.00039234676,-0.0039336965,0.0019498963,0.008751876,0.010486012,0.005265589,-0.0045838743,-0.0042899735,-0.015371579,-0.012191604,-0.0027869907,0.009542991,0.006368557,0.0033413721,-0.016284855,1.8896302e-05,0.0068656215,0.0067395796,0.0036558702,-0.009439985,-0.0012458918,0.009926094,-0.0016012937,0.0019958518,-0.003937341,-0.000900738,-0.0102236895,-0.004182923,-0.00838089,-0.00018452085,8.3073275e-05,-0.017673561,0.006507315,-0.0017695312,0.008317516,-0.00027557026,0.009997299,-0.0036923462,-0.008454008,0.007882848,0.0023681836,-0.0072399653,-0.02402854,-0.004432806,-0.00019295106,0.04526348,0.006041836,0.025404438,0.013229464,0.038654268,-0.010623368,-0.0082031675,-0.017383639,-0.007138433,-0.0003366676,-0.014493477,-0.010486452,-0.027547544,-0.009303484,0.0044447375,-0.004844772,-0.011995936,0.021368433,-0.0040281857,0.016731074,0.0014227779,0.014119637,0.0037024368,0.0019124837,0.013698172,0.0053801965,0.006792182,-0.0045522535,-0.011599917,-0.0076316413,-0.0094377315,-0.016888594,0.007918433,0.0111373905,-0.0073253224,0.0073674023,-0.0031234396,-9.805674e-05,-0.0012126947,0.008558877,0.0008571837,-0.004382914,-0.003538316,0.009518924,0.005155987,0.0033450762,-0.0011938867,0.007899065,0.007871053,0.009082156,0.016843792,-0.0018594787,-0.006692103,-0.011387576,0.003112568,-0.0023584657,-0.00089408923,-0.01088633,0.011891535,0.0014055322,-0.0072145797,0.0090283565,0.0043605515,0.001313248
ram_12m_0m_cross,0.034060508,0.019105226,0.011361731,0.01847778,0.003966761,-0.010749116,-0.0056301034,0.007512804,0.015374041,-0.0034295598,-0.004890143,0.00633346,0.0056280806,-0.005812813,0.003768055,0.014437365,-0.0055822665,0.00017954504,-0.001574417,-0.009714612,0.003504395,-0.011458617,0.004317851,-0.0125444485,-0.011581117,-0.009855216,-0.015172411,-0.0025159998,-0.003327387,0.0026178125,-0.0041629034,-0.006374964,-0.013789604,-0.01649314,-0.013793009,0.004756237,-0.00018669409,0.013546645,0.008104434,0.002583623,-0.01563742,-0.00572337,0.0070295576,0.017412832,0.012837887,-0.00018313085,0.021263545,0.021178048,0.008063441,-0.005605535,-0.00065602764,-0.0011837883,-0.0019059023,-0.0019960622,0.013310344,-0.0064623253,-0.0175399,-0.0009260903,-0.005230709,-0.0009972026,0.007668713,0.036530375,-0.0019120697,0.0006933991,-0.0034191941,0.024360294,-0.008295749,0.017237512,0.01733499,0.008734819,0.02697634,-0.007166591,-0.01492513,0.0022807952,0.013074519,-0.003138688,-0.010937445,0.002371606,-0.026835015,-0.008275121,-0.011909406,0.0027580091,-0.013496991,0.008683068,-0.0049519753,-0.003332173,-0.008015206,0.005346918,-0.0045134393,0.018131737,-0.010646148,-0.010598569,-0.001275752,-0.009599246,-0.015415471,-0.0010258605,-0.019419186,-0.016106587,-0.00041128657,-0.0018475429,-0.02189108,-0.017026141,0.0064031435,-0.01116759,0.0010738728,-0.0006774382,0.002335501,0.0059697786,0.008699493,0.0015944166,0.0069897864,0.018412212,0.0027051338,0.009286541,0.021466585,0.002157174,-0.013575409,0.011009915,0.00083317293,-0.012838582,-0.007466925,0.0045327405,0.010511318,-0.018668646,0.00012273353,0.0052563297,-0.026425486,-0.00399235,0.028926581,0.0036452839,-0.00720445,-0.006661818,0.010694245,-0.010357986
vol_3m_cross,-0.042432696,-0.022812013,-0.033965256,0.055260003,-0.0035761301,0.00078524835,-0.008620767,0.0074278153,-0.012079741,-0.008000541,-0.005950786,0.016600108,0.038878348,-0.03285353,-0.04393004,-0.0054267803,-0.027242893,4.4129672e-05,0.00026389078,0.013920333,0.0064409347,-0.010788964,-0.0015302568,-0.00820196,0.0038731839,0.018935056,-0.0068102614,-4.182686e-05,0.004580718,0.0050553987,-0.008914672,-0.0040596714,-0.018521493,0.005136027,0.002328227,-0.044763934,0.009143119,0.0023229045,0.015859079,-0.007515075,-0.012507469,0.023322769,-0.01148864,0.006388182,-0.000851247,-0.007295945,-0.014983857,-0.021321593,-0.0087157935,-0.02606862,0.021356842,-0.0033081807,-0.031760268,-0.0048633195,0.014325723,0.01528285,-0.007893018,0.04856599,-0.021150503,0.025816856,-0.019449297,0.019947542,-0.014221833,0.03389257,-0.0015735894,0.04601606,-0.004697518,-0.06585449,0.004924184,0.009743367,0.03648472,-0.07770989,0.08609231,-0.0032216962,0.009431417,-0.023187084,0.0064239027,0.019792736,-0.03520522,0.03452863,0.008111172,0.018498655,-0.026984993,0.019860605,0.014114177,0.016229032,-0.013564025,0.015330085,-0.021650366,-0.0050716107,0.0058360356,-0.009972681,0.023358937,0.014077012,-0.0012366953,-0.0018648864,-0.005261052,-0.013550056,-0.016106123,-0.022563234,0.021815611,0.02274058,-0.07964543,0.023456043,-0.0051017846,0.008738606,0.0023170847,-0.017360639,0.0032251363,-0.0013773043,0.012314776,0.017408004,0.003274785,0.005983511,0.00887974,0.015628966,-0.015624256,-0.012859003,-0.0005377091,-0.026367208,-0.013425104,0.0121895205,0.014984388,0.012130451,0.047171105,-0.03769523,-0.0051900065,-0.009836696,0.03016609,-0.056629922,0.05745922,0.033088993,0.05460104,-0.0059648124
res_mom_12m_1m_0m_cross,-0.0078110504,0.0110378275,-0.0007318208,-0.0006575634,-0.0034849748,-0.016202936,0.00049768796,-0.015696332,0.0031983487,0.0009259917,-0.0024657387,0.0021869834,-0.0046275123,-0.0047642346,-0.0063104746,0.0009741592,0.0031843113,-0.00041947156,0.0010496101,0.00013116753,-0.001310229,0.0033076813,0.00302027,-0.010174416,-0.008326142,0.0029192278,-0.0054093427,-0.008627403,-0.01197316,0.009750981,0.0011966041,0.002588993,0.004534693,0.002003021,-0.006454068,0.0066783675,0.0053856457,-0.0026995628,-0.007633542,0.005247604,-0.0042271772,0.0025337464,-0.0045969537,0.01158278,0.0004851753,0.008415326,0.0012963722,-0.0022992864,-0.003858427,0.01211563,-0.009264552,0.0031804545,0.0014745637,0.0003758252,0.0054217596,-0.008490302,-0.00093792257,0.002199338,0.0008423465,-0.0030467191,-0.011421215,-0.0010711763,0.00910388,0.0009401442,-0.0061688498,-0.0021252132,0.0064311996,-0.010479707,0.025164472,0.0006418789,-0.0018912016,-0.0016260793,-0.03747912,0.0033356152,-0.032609694,-0.00031804145,0.011077965,-0.0030069137,0.013925528,-0.014606076,-0.0005801582,0.0060174973,0.017091528,0.014123632,0.006938761,0.0009854693,0.004800251,0.00028413942,0.00453291,0.0029456455,-0.004722341,-0.0006993411,-0.00010494783,0.0028902933,-0.00019975973,-0.0030616478,-0.0086935675,-0.005419388,0.008272072,0.010807926,-0.008764974,-0.010458916,0.0044409665,-0.0018818397,-0.0028630428,-0.0032750105,0.006198078,0.00040799708,0.00067939976,0.001096863,-0.0053451145,0.0020652844,-0.00397463,-0.0033773545,0.0053112768,-0.011988062,0.0028898665,-0.003256624,0.0116289705,0.0038433773,0.0053355894,-0.0016269648,0.0042717084,0.006288092,-0.0007501169,-0.0008598018,0.0067660725,-0.004849546,0.00074870535,0.0065830215,-0.004739984,-0.0046353745,-0.0035037599,0.0036325587
res_vol_6m_3m_0m_cross,-0.0378947,-0.00752632,0.008051185,0.01564435,-0.029787512,-0.0008616677,0.020178936,0.0034172987,-0.0065937126,-0.022064382,-0.008137553,-0.017097874,0.016377412,-0.015746234,-0.00042180566,-0.0032052489,-0.0015336988,0.0036018156,-0.00015706738,-0.0012203744,0.0069262153,0.006766762,-0.0021026467,0.00565941,-0.0076151965,-0.008196516,-0.017325759,-0.0005284024,-0.01290953,0.0038352173,-0.0007587392,0.0047305226,-0.0054476582,-0.0036181149,-0.0053750435,-0.0148097705,-0.006755677,0.005112438,0.008162829,-0.004744274,-0.0019180389,0.009498799,-0.005662808,0.009604817,-0.013199336,-0.0039738724,-0.009796763,-0.0078397235,0.003824205,-0.01404088,0.013718755,-0.011114225,0.015208809,0.0023406083,-0.005399867,0.014825677,0.0047198557,0.03185678,0.0023886946,0.026288241,-0.055197228,-0.0036673802,-0.010955073,0.022607557,0.0084351655,0.014085573,0.00950951,-0.14495246,5.8471924e-05,-0.010694366,0.06427566,-0.010208456,0.01306355,0.021559639,0.0023136074,-0.026723526,-0.011756165,-0.016778817,-0.0037614184,0.0026126218,-0.023652999,0.010372166,-0.017018203,-0.004998598,0.014364109,0.010997639,0.018401504,0.029207699,-0.0058494993,-0.014029379,0.0077644223,0.004243649,0.0034027856,0.01066587,-0.006357966,3.096764e-05,-0.020919535,-0.012943039,-0.007968897,0.0071167457,-0.0053339317,0.0013145593,-0.021213168,-0.00847385,0.011115688,0.0025390286,0.0066977018,0.0053191497,0.023013264,0.007079,-0.0046722475,-0.0013023677,-0.005987319,-3.129535e-05,-0.003204986,0.006435281,-0.02418716,0.011066826,-0.01018573,0.020568604,0.008990854,-0.005369551,0.008738975,0.015280568,0.042677768,-0.014655198,-0.0059057106,-0.050760593,0.0033742576,-0.021110578,0.034811094,0.00208139,0.023697631,0.019630138
asset_turnover_cross,0.029792912,0.0035385503,-0.0001735054,0.006282325,0.011735124,0.0010763665,0.0057552885,-0.0066899788,0.018332757,-0.00491921,-0.003191231,-0.0006479399,-0.015747909,-0.007821998,0.012317048,0.010152032,-0.017174033,-0.0009841966,-0.0053748507,-0.00044064817,-0.0038317277,-0.0038938404,0.0035719455,-0.00784789,0.007713489,0.0051853703,0.0005467745,-0.006757937,-0.003096111,0.003636508,-0.01072803,0.010142687,0.008592634,-0.0002522588,-0.004536104,0.0025272775,0.015171261,0.0054421527,0.008275121,-0.0051114517,-0.0060942047,-0.003304258,0.009822122,-0.0021250416,0.004818675,-0.0046995236,0.0006581436,0.0073366268,-0.002964617,-0.010354723,-0.01641504,0.00836079,-0.0040271753,0.0018651983,-0.0054756184,-0.007080249,-0.009292586,-0.0028468778,-0.00801635,-0.017223518,0.01831966,0.024094114,0.00048191193,0.0020531486,-0.007199318,0.0065577263,0.0057845446,0.02548466,-0.0030628608,0.00052085554,0.03193896,0.023286125,-0.02237157,0.016754292,-0.005038802,0.0057162493,0.00011236119,-0.008920706,-0.009892798,-0.02251242,-0.0076836986,-0.0047684326,0.0012290376,0.0060149236,-0.008567269,-0.005576966,0.01807302,-0.009112281,-0.009418083,-0.017049517,0.00042536476,-0.012493631,-0.006011705,-0.004784333,-0.010802573,4.3466687e-05,-0.002353076,-0.004261158,0.008361542,0.012586058,-0.008666826,-0.016388506,-0.006616654,0.0070645325,-0.0005314659,0.0056024753,-0.001857608,-0.0031858569,0.011865535,0.010681607,-0.0042734523,0.005252202,-0.00083756994,0.00016063312,0.006216529,0.0037295546,0.0035571407,-0.0051148986,0.010957665,-0.010165605,0.0004498597,-0.0011641646,0.00067622174,-0.004759615,-0.0053098155,-0.0077849077,-0.0048534335,0.016864577,0.023009777,0.0023300024,-0.0023380143,-0.0037012869,0.005830138,0.0022578498
gpa_cross,-0.00092508923,-0.01943649,0.0039456664,-0.024681937,-0.0046125073,0.0013782411,0.010294704,-0.0021613978,0.0032512804,0.009441709,0.0018177042,-0.017048284,-0.011621896,0.011177749,0.017156214,-0.0065232404,-0.0024169574,-0.0041926927,-0.0022797838,0.00062653667,-0.005280536,0.017344527,-0.0017372416,0.0076263547,0.011414448,-0.0039039145,0.008442936,0.0042155297,-0.0044671525,-0.013778405,-0.0017021642,0.0008474648,-0.0006255198,0.012913017,0.01171724,0.011877272,-0.014407585,-0.022727614,-0.004848373,-0.0026094988,0.009617199,-0.0015256598,-0.00021093013,-0.0013898973,-0.0059648016,0.0051532146,-0.0023912531,-0.005773296,-0.00018051345,0.017550161,-0.005637767,0.0019163197,0.018510392,0.016211778,-0.013972937,-0.017374184,0.016609263,-0.010941103,-0.002318281,0.010241578,-0.018541409,-0.01819863,0.0011110015,-0.01903273,0.0034234626,-0.018539254,0.012603718,0.0021091108,-0.040459707,0.024111731,-0.0087888455,0.030462379,-0.03582736,0.0024883933,-0.01891514,0.009941313,-0.024519267,-0.014896489,0.0008371088,-0.028681025,-0.0047890414,0.016626833,0.01366404,-0.018073719,-0.013948492,-0.008972292,-0.0026756034,-0.00782625,0.014108408,-0.017583856,0.010287559,0.009612311,0.0072271274,0.0010737097,-0.005337914,0.0018373529,0.00069128856,0.00017535314,0.0065484336,0.0050596264,0.0031541812,0.009801366,0.012491277,-0.011491247,-0.0007593729,-0.0042741685,-0.0032875512,0.007920041,-0.012256605,-0.008121012,-0.0011154818,-0.015121762,-0.005904527,-0.004825623,-0.01732133,-0.0029544535,0.0035197604,-0.012541567,-0.0060766847,0.013237634,0.0056978334,-0.0013538487,-0.006193933,0.009620405,-0.005654231,-0.001601539,0.016403046,-0.0010534558,-0.0103863515,0.00088591897,-0.019413838,0.008270209,-0.017739175,0.0029359001
