,Whole_1_cross,Whole_2_cross,Whole_3_cross,Whole_4_cross,IT&Comm_1_cross,IT&Comm_2_cross,IT&Comm_3_cross,IT&Comm_4_cross,Health_1_cross,Health_2_cross,Health_3_cross,Health_4_cross,Con Dis_1_cross,Con Dis_2_cross,Con Dis_3_cross,Con Dis_4_cross,Fin&Estate_1_cross,Fin&Estate_2_cross,Fin&Estate_3_cross,Fin&Estate_4_cross,Ind_1_cross,Ind_2_cross,Ind_3_cross,Ind_4_cross,En&Util_1_cross,En&Util_2_cross,En&Util_3_cross,En&Util_4_cross,Materials_1_cross,Materials_2_cross,Materials_3_cross,Materials_4_cross,Con Stpl_1_cross,Con Stpl_2_cross,Con Stpl_3_cross,Con Stpl_4_cross,Whole_1_serial,Whole_2_serial,Whole_3_serial,Whole_4_serial,IT&Comm_1_serial,IT&Comm_2_serial,IT&Comm_3_serial,IT&Comm_4_serial,Health_1_serial,Health_2_serial,Health_3_serial,Health_4_serial,Con Dis_1_serial,Con Dis_2_serial,Con Dis_3_serial,Con Dis_4_serial,Fin&Estate_1_serial,Fin&Estate_2_serial,Fin&Estate_3_serial,Fin&Estate_4_serial,Ind_1_serial,Ind_2_serial,Ind_3_serial,Ind_4_serial,En&Util_1_serial,En&Util_2_serial,En&Util_3_serial,En&Util_4_serial,Materials_1_serial,Materials_2_serial,Materials_3_serial,Materials_4_serial,Con Stpl_1_serial,Con Stpl_2_serial,Con Stpl_3_serial,Con Stpl_4_serial
Whole_1_cross,-0.002242838,-0.0002671539,-0.0019292685,0.001851916,0.0005411073,-7.15996e-05,-0.00020613054,-0.00020998668,0.0005391818,-0.001158063,-0.0011316478,0.00090966036,-0.0025605878,0.0033666284,-0.0013106315,0.00050895324,-0.0014621174,0.0009442445,0.00013042623,0.0014404396,0.00015337096,0.0033203503,0.00056323264,-0.00073609425,0.00052560266,0.00096189516,-0.000512887,-4.835233e-05,0.002219172,-0.0026523673,0.0013438981,0.0007779965,0.000719134,0.0012220537,-0.0020228112,0.002801941,3.8534974e-05,-0.0004926459,-0.0006218757,-0.0009843806,0.00090755743,-0.0015505508,-0.000661544,-0.0009140809,-0.00033929173,-0.003623941,7.888684e-06,0.0013632746,-0.0032267796,0.0038589607,-0.0018737005,-0.00041308044,-0.002515859,0.0021495766,-0.00042212819,0.0022770949,-0.00095889583,0.0034595935,-1.0520385e-05,-0.0017938458,0.0006810315,-0.00034336306,-0.0004776356,0.00095734396,0.002804276,-0.0037002494,0.0015814115,0.0016049477,0.00020769905,0.0012846892,-0.003187909,0.0026423184
Whole_2_cross,0.0006379979,0.0011020246,-0.003664239,-0.0017066735,-9.6140764e-05,0.00054670783,-0.0006833717,0.0009188966,-0.00036761686,1.0547326e-05,-0.00031621451,-0.0012723595,0.0004137776,0.00050561177,9.115556e-05,-0.0016700708,0.0013680705,-0.0015629586,0.00046791963,-0.0014711272,3.12777e-05,-4.3318778e-05,-0.0018744159,0.0010126726,0.00029469017,-0.0013818481,-0.0003903857,-0.0016924444,0.00040776303,-5.7882877e-05,-0.00078486116,-0.00017215092,-0.0018473915,0.001838673,-0.0014661364,-0.002018677,0.0007689823,0.0007481626,-0.0013807487,-0.0001067426,0.00070432306,0.0017659541,1.0025849e-06,0.0005374365,0.00012976037,-0.00022244398,0.0002845044,-0.0017982618,-3.690366e-05,0.0013621211,-0.00028023595,-0.00095621543,0.0018329144,-0.00017877598,-5.39444e-05,-0.0022998566,0.000488707,0.001164612,-0.0010522763,0.0004544464,0.002278083,-0.0011213956,0.0020417762,-0.0010753289,0.00227777,0.001872618,-0.0008568252,0.0010285744,-0.0020941326,0.0035689159,-0.0015241422,-0.0027467737
Whole_3_cross,0.00021629821,0.0023246955,-0.0033574922,0.0011862445,-0.0019318883,0.0013135338,-0.0014684646,-0.00024047893,-0.0005252589,0.0015588807,-0.0017852649,-0.000562233,0.00017888416,0.000668574,-0.0011736926,-0.0012532824,0.0014501117,-0.00092087715,0.0008196559,-0.00079979387,-0.00023996929,-0.0012409502,0.00015565878,0.0002668751,0.00025040613,-0.0017720449,0.0013457411,-0.00022849429,-0.00019465132,0.00061935047,-1.0651745e-06,0.00037843167,-0.0006105427,4.9197544e-05,0.00029598907,-0.0012485503,0.00042353498,0.0011487615,-0.0009808355,0.0007925799,-0.001782429,0.0015176974,-0.0014616988,-0.00048980745,-0.00034476543,0.0016482795,-0.0010603343,-0.00012581577,-0.00040819947,0.00065747625,-0.0015485197,-0.0015084678,0.0009996541,-0.00030939927,9.685492e-06,-0.00023261756,0.0005657664,-0.000319335,0.00045552538,8.759257e-05,-0.00016579409,-0.0024968574,0.0025443707,-0.00026915802,0.0010834289,0.0016412997,0.0005284029,0.0007716258,-0.00081629003,0.000512048,0.00042473065,-0.0018484198
Whole_4_cross,-0.001482014,-0.0016068941,0.0026453973,-0.0004326418,0.0012824794,-0.0005381178,0.00088756223,7.011793e-05,0.00069201994,-0.0014944461,0.0013909418,0.00082754943,-0.00090245926,0.00032284745,0.0008397817,0.0019400619,-0.0018355803,0.0029080359,-0.0006518965,0.0015483246,0.00025765444,0.0010568752,0.00061704544,-0.00045760666,-0.0007145199,0.003165406,-0.0015791274,0.00039938302,0.0010067752,-0.0014016945,0.0011734894,8.2278806e-05,0.0015964243,-0.00025063186,9.089756e-05,0.0026043982,-0.0016007675,-0.0011724945,-0.00010365654,-0.0016053726,0.00079137844,-0.00153393,0.00066626485,5.734192e-05,0.00013958411,-0.00261602,0.001748982,0.00042293427,-0.0006084876,0.0011058364,0.001404259,0.0010198525,-0.0021479705,0.0029728492,4.5071167e-05,0.0006544416,-0.00052145007,-7.146811e-05,3.2294694e-05,-0.0002809144,-0.0007247609,0.0037190602,-0.00404821,0.00024454595,-0.00050387444,-0.003066053,0.0003804392,-0.0009763798,0.0015965672,-0.0010134042,-0.0003175448,0.00321457
IT&Comm_1_cross,2.1169122e-05,-0.0009992487,0.0013526473,0.0006821071,0.00011697255,-8.68053e-05,0.00022968517,-0.00020006666,4.9052796e-05,-0.00016697985,0.0006455332,0.00021213609,-9.442194e-05,-0.00030649273,0.0002289836,0.00052530866,-0.0007004585,0.0006360271,-0.0002080156,0.00055426994,0.00011804851,0.00021190601,0.00040023756,-0.00030799545,-0.00027147768,0.00048643156,-1.19823735e-05,0.00042606352,-3.4863275e-05,-6.7632245e-05,0.00037614803,-8.930075e-05,0.00039394893,-0.00044969874,0.0005482796,0.0005165938,-0.00018132642,-0.00065465114,0.00037455003,-0.00053504104,-7.397843e-05,-0.00048711855,-5.309852e-05,-6.443134e-05,-9.445623e-05,-0.00037645872,0.0005916543,0.00028271618,4.6711924e-05,-0.0005119671,0.0005324135,0.00028645238,-0.00065773487,0.00025705562,-0.00016414112,0.0006747548,-0.0002693639,9.7447686e-05,7.357175e-05,-9.167843e-05,-0.0004957584,0.00024717674,-0.00073445187,6.0579336e-05,-0.00090970396,-0.00046975535,0.00036630745,-0.00020502022,0.0004691765,-0.00078334694,0.0005503941,0.0008222997
IT&Comm_2_cross,0.0049086194,0.0003004097,0.0055749896,0.0018846398,-3.606634e-05,-0.0022524544,-0.00056838425,-0.00015121876,-0.0010852447,-0.0015339728,-0.0005165008,-0.00022084918,0.00020860235,-0.0030713785,6.812738e-05,-0.0016158065,0.00013431461,-0.0041190274,-0.0017463202,-0.0008292503,-0.0007051833,-0.0017699973,-0.00037043364,-0.0004984235,-1.2912753e-05,-0.0027224717,-0.00044568442,-0.00029182236,-0.0015065084,-0.00081992924,-0.0015326695,-0.00041109565,-0.0012547352,-0.0014809679,-0.00050228863,-0.002305626,0.0031471236,-0.0013519076,0.003911878,0.0046955287,-0.00021946033,-0.0006310213,0.0010172863,0.001113448,0.00053484295,0.0025584754,-0.0013370884,-0.00045480247,0.0009333453,-0.0022887066,0.0013899738,0.0010796634,0.0011609914,-0.004332865,-0.00011827315,-0.0020189886,0.00058327336,-0.0011073265,0.0009879323,0.0012284389,0.0020846596,-0.0012265668,0.0014754485,0.00053838256,-0.00048171356,0.0013021101,-0.0009410618,0.00069938874,0.00064093166,-0.0012458714,0.0019555225,-0.0019154744
IT&Comm_3_cross,-0.006620458,-0.0010246458,-0.0051299976,-0.0008067134,0.0010646036,0.0012364195,0.0015400716,-0.00020819482,0.0014178641,0.0008549846,0.00074859743,0.0013182764,-0.002046906,0.0047025196,-0.00080083706,0.0024989864,-0.0019839497,0.005396299,0.0016616599,0.0024229193,0.00094454066,0.004365355,0.0009717879,-0.00033368732,0.00042779415,0.0037588088,-0.00019329385,0.000805774,0.002724513,-0.0008211875,0.002392173,0.000640458,0.0021184438,0.0018395042,-0.00079917157,0.004733037,-0.0032347753,0.0013589032,-0.0038299556,-0.0053935223,0.0013079982,-0.0012905389,-0.0005784157,-0.001961959,-0.00069472304,-0.0047719735,0.0009220526,0.0018368856,-0.0032672398,0.0040785936,-0.0028386277,-0.0006389755,-0.0034648948,0.0055783875,0.00033988795,0.003724571,-0.0013474483,0.00349723,-0.0007445619,-0.0027143566,-0.0019774486,0.002167741,-0.0024391722,0.0008304186,0.0017023827,-0.003910168,0.0010868922,-0.00055671687,0.00015197169,0.0011080977,-0.00415785,0.0050849533
IT&Comm_4_cross,0.002589859,-0.00041072245,0.004623921,0.0025077441,0.0009190442,-0.0027663715,0.0005986461,-0.00061915646,-0.00044411575,-0.0013816576,-0.00055947667,0.0008954225,-0.0010929754,-0.0010254133,-0.0008466181,-0.00071397144,-0.0011807481,-0.0031994407,-0.0012656387,0.00042900443,-0.00038650646,0.0011676361,0.00028770659,-0.0011438907,0.0008387077,-0.0021435209,-3.7860616e-05,0.0005381502,-0.00070995605,-0.0012125488,-0.0011413347,-0.00023719332,-0.0004141466,-0.0009087505,-0.0014029916,-0.00011040659,0.0029023779,-0.0007865357,0.0038287372,0.0037496933,0.0008680193,-0.0022967656,0.0011410717,2.3802364e-05,0.00031739144,0.00090915523,-0.0023189883,0.0013638991,-0.000894604,-0.0012904976,-0.0008229007,0.0013501154,-0.00075657794,-0.004108929,1.3679576e-05,0.0007063302,-0.00038782324,0.0014441509,0.0008603547,-0.0005606376,0.0015647205,-0.0016775592,0.0016227918,0.0018526348,-2.5011426e-05,-0.00072385994,-0.00084375404,0.0007699126,0.0008340211,-0.0013305617,-0.0003692195,0.0007197525
Health_1_cross,0.005075823,-0.0015991603,0.004783142,0.00017067668,-0.000503764,-0.0013934589,-0.00044173276,7.372246e-05,-0.0015690954,-0.00042063862,-2.1638498e-05,-0.0009823823,0.0021043997,-0.0048252414,0.0012814944,-0.0018723262,0.0017695195,-0.0045649535,-0.0015205457,-0.0020066397,-0.00076288095,-0.003945291,-0.0006536699,0.00018688577,-0.00046496248,-0.0029870046,-0.00035822298,-0.00038046518,-0.0022172588,0.00055422535,-0.0010237701,-0.00027558437,-0.002025939,-0.001974429,0.00066133816,-0.003954648,0.0027766328,-0.0015490777,0.0028909869,0.002715506,0.000103978506,0.0009838472,0.0013879609,0.0017855236,8.534204e-05,0.0042341235,-0.00093207776,-0.0017841789,0.0040255617,-0.0051079947,0.0033738567,0.0007872325,0.0039894595,-0.0049756803,-0.00037099322,-0.003137355,0.0010970881,-0.0037264782,0.0008316691,0.0023997913,0.0009972667,-0.0007946558,0.0012553722,-0.00040319463,-0.0012638842,0.003969358,0.00063028606,0.0010582138,9.911278e-05,-0.0016839853,0.003730491,-0.0044280696
Health_2_cross,-0.0015958411,0.003060161,-0.003743098,-0.000549917,-0.0012135847,0.0017068086,2.1107508e-05,-0.00033768485,0.0005431624,0.0028701932,5.5772944e-06,-0.0001613443,0.00092861475,0.0011146045,-0.00093118777,0.00019968553,0.0006218043,0.0015515946,0.0017913231,-0.0001409956,0.00038745915,-8.1659e-05,0.00028379116,0.00047666955,0.0005083302,-0.00045240225,0.0025624193,0.0007456489,-0.0010481292,0.0033028477,-0.0011518503,-0.0005663167,0.0005803439,0.00029948654,0.0018070079,-0.0003695021,-0.0015129386,0.0027728372,-0.0014739559,-1.549474e-05,-0.0021457064,0.0011495188,-0.001487856,-0.0012242765,9.713605e-05,0.0017193248,-0.0007505243,0.00086459715,-0.0005911566,-6.3143954e-05,-0.002892418,-0.0009585308,-0.00055162545,0.0001519307,0.0007457208,0.0013406281,6.9998554e-05,0.00030725522,-0.0004466155,-0.0006565146,-0.001753102,-0.0021570206,0.002342099,-0.00030768148,-0.0019875646,0.001640276,-0.002378112,-0.002155508,-0.00096209807,1.2267811e-05,0.00024929733,0.00011033375
