,FISV,KLAC,NTDOY,LRCX,TCOM,CRM,NTES,CERN,SWKS,ICE,MSTR,XLNX,AMD,ANSS,MU,LPSN,MELI,ONTO,ASML,NVDA,BKNG,GOOGL,ADI,AEIS,BIDU,EBAY,AAPL,CDNS,ATVI,AMZN,TSM,MRVL,CSCO,EGHT,INTC,EXAS,MSFT,ORCL,IDXX,PAYX,ADSK,ADP,MXIM,MCHP,DIOD,QCOM,INTU,TXN,POWI,CHKP,ADBE,AMAT,SNPS,NFLX,FORM,EA,MTCH,AVGO,IRDM,SPSC,TSLA,NXPI,PACB,PRLB,FB,SPLK,IOVA,WDAY,FATE,TWOU,TWTR,JD,BABA,SQ,PSTG,TEAM,PYPL,SHOP,TDOC,NVTA,ALRM,Z,NTLA,TWLO,CRSP,OKTA,SPOT,DOCU,ROKU,SE,NIO,GH,TWST,BNGO,UBER,ZM,PDD,PD,TXG,PTON,VIR,BEAM,OCFT,RLAY,BEKE,U,PLTR
FISV,0.0024670218,0.0069557047,0.0050615347,0.006638126,0.0052913236,0.0071704034,0.0062889797,0.005984416,0.005496322,0.0030129403,0.007630904,0.006968651,0.0029645325,0.0055181957,0.0037612598,0.0021952102,0.0036239512,0.0062320977,0.0053766817,0.0058591096,0.007106036,0.006971917,0.0052295737,0.005314421,0.004547836,0.006924202,0.005335459,0.0072997008,0.0060124276,0.006302803,0.0051809363,0.007093359,0.005593514,0.003979479,0.0058948575,0.0009419534,0.008075625,0.007214945,0.005531602,0.0065004406,0.004190462,0.005549743,0.007062884,0.0023210123,0.0047526318,0.003843952,0.00740508,0.008221127,0.0090889195,0.0063968794,0.006965072,0.00625194,0.007084594,0.0045014312,0.0054864353,0.0065408815,0.00495046,0.004421331,0.0016917693,0.0072402228,-0.00072577083,0.0047523254,0.0031351624,0.0046098367,0.006473436,0.0030432842,-0.0028605696,0.003098337,-0.0022410336,-0.0021480601,0.003701658,0.0054593333,0.005145852,8.57017e-05,0.0013515851,0.0031365026,0.005450691,0.0043429555,0.0053576236,-0.0030338191,0.0060145063,0.0032353122,-0.0022297879,0.0026849243,-0.0024826713,0.0010796022,0.0039559132,0.004926921,-0.00054968474,0.001479933,-0.0074712746,0.002336206,0.002511376,-0.0047833137,0.0055203964,0.0061653256,0.0018133803,0.0036175777,0.004414607,0.0005763336,0.00062346924,0.0012252321,0.002882753,0.002734941,0.0008506533,0.0032339073,0.0024670218
KLAC,0.010460476,0.01607638,0.0137029365,0.015652575,0.013980558,0.016589055,0.0146870185,0.015238231,0.013789781,0.0115427505,0.01743994,0.016223151,0.010129056,0.014449805,0.012199319,0.008555705,0.011704226,0.015174646,0.014528158,0.014510923,0.015949523,0.0160863,0.014277513,0.013891603,0.01312991,0.016399516,0.013843036,0.016213765,0.014798574,0.015271604,0.014094178,0.015377381,0.014174865,0.011137718,0.014700542,0.0059847087,0.01763388,0.01696332,0.013314353,0.015302321,0.012157027,0.014380834,0.015987806,0.009050425,0.013288195,0.01168614,0.01651772,0.017720755,0.018144775,0.015812296,0.01624658,0.015142831,0.01668688,0.013044272,0.014162099,0.0152653735,0.012801834,0.0134896,0.009817905,0.016287968,0.0051224446,0.013498724,0.010482587,0.012834875,0.015808405,0.010566749,0.0027806927,0.010505231,0.0040581343,0.0036186776,0.010771197,0.013165596,0.013702665,0.0055159433,0.008790522,0.0113302665,0.014557108,0.012063226,0.013698167,0.0022513524,0.014114774,0.010283016,0.004975787,0.00911553,0.0033619045,0.008313678,0.011494408,0.012532836,0.0050110836,0.008644402,-0.0047850795,0.009487001,0.010215083,6.7456625e-05,0.014168145,0.013734648,0.009190433,0.011025583,0.011440809,0.0061127637,0.007351328,0.008525562,0.00968705,0.009680131,0.0072336374,0.011664222,0.010460476
NTDOY,0.009102798,0.014226756,0.012315837,0.013939433,0.012155701,0.0145712225,0.013439421,0.013056202,0.012340968,0.009442489,0.015183268,0.01416912,0.009099449,0.012551986,0.010517653,0.0070753973,0.010002026,0.01327378,0.012526881,0.012944634,0.014230592,0.014186823,0.012171954,0.012160942,0.011470159,0.014400362,0.012159745,0.01424015,0.0131446915,0.013638767,0.012226947,0.013978289,0.012266827,0.009618588,0.012817706,0.0054830066,0.015463778,0.014688012,0.011832086,0.013137157,0.010727148,0.012271829,0.01431315,0.007914506,0.011785008,0.010277175,0.014416364,0.015711907,0.016442275,0.013587632,0.0142382,0.013458967,0.014459829,0.011636587,0.0123814205,0.013768157,0.011369061,0.01136087,0.007940536,0.014245074,0.0049344213,0.01175368,0.009200081,0.011284562,0.013832039,0.009154806,0.002169399,0.0088724,0.002792784,0.003160703,0.009645058,0.011852655,0.012111169,0.0049343836,0.0074531753,0.009467672,0.0125043085,0.010526417,0.0122038685,0.0017343357,0.012521924,0.009052031,0.0038648704,0.008008302,0.002631953,0.0069421744,0.010319927,0.0110626435,0.004500845,0.0071919803,-0.0039267256,0.008102664,0.008659828,-0.0006832741,0.012902575,0.012579565,0.008307057,0.009644088,0.010054178,0.00536712,0.006633206,0.007270851,0.008660249,0.008496259,0.0060527045,0.010149854,0.009102798
LRCX,0.0087925345,0.014151037,0.012037319,0.01381919,0.012003544,0.014639311,0.013239498,0.013106744,0.012057966,0.0093570985,0.015460202,0.014083363,0.008510327,0.012453907,0.010276808,0.0064593526,0.009709393,0.013199055,0.012532755,0.012750857,0.013949853,0.0141461175,0.012220361,0.011976241,0.011232104,0.014449967,0.012079142,0.014227465,0.01306617,0.013492512,0.012113087,0.013877541,0.01206694,0.009195834,0.012665408,0.0043422743,0.015583158,0.014818262,0.011441961,0.012986784,0.010391569,0.012075444,0.014228682,0.0073006507,0.011488678,0.009909816,0.014359796,0.015790267,0.016443972,0.013728047,0.014246976,0.013331243,0.014625516,0.011349045,0.01226737,0.013556383,0.010907745,0.011326963,0.007755478,0.014237489,0.0039337385,0.011645424,0.0088009555,0.010952538,0.013867399,0.008755569,0.0012761336,0.008474617,0.0021462305,0.0021897797,0.009012941,0.011435535,0.0119428355,0.0039674826,0.0070357285,0.009312203,0.012468246,0.010139096,0.01200736,0.00067364844,0.012228138,0.008574928,0.003298832,0.007369845,0.0018500546,0.006481698,0.009918528,0.010822003,0.00355676,0.0067468425,-0.0057346486,0.007569424,0.008414882,-0.0018124906,0.012569605,0.012243605,0.0078657465,0.009224692,0.00961639,0.004427687,0.005862461,0.006767852,0.008007399,0.008025125,0.005424558,0.009975916,0.0087925345
TCOM,-0.00075405417,0.0010954384,0.0015525133,0.0016455883,0.0014373031,0.000881203,0.0032526837,-0.001315888,0.0012629442,-0.0045211534,0.0014448478,0.000647197,-0.0007167384,-0.00058491854,-0.0012872256,-0.004705413,-0.0026054173,0.00022781407,-0.0009834496,0.0011475813,0.00096814614,0.000596859,-0.00102829,-0.0003432557,-8.670753e-05,0.0012083249,0.00019505713,0.00059908535,0.0017459947,0.0012526149,-0.0009116605,0.0033226279,-0.00097598415,-0.0018886351,-0.0005376474,-0.0020256543,0.0009719208,0.00054001575,-0.00015595835,-0.0014514998,-0.0007874062,-0.0020774594,0.0022924072,-0.001566973,0.0012902198,-0.00045245374,-0.0003015343,0.0022347486,0.0042506447,-0.00050992426,0.0002737823,0.0012974851,0.0002754568,0.00026918575,0.00021782843,0.0018097023,-0.00016825693,-0.0023285002,-0.0034904238,0.0006990144,-0.00045396388,-0.0004642019,-7.284805e-05,-0.00027282257,0.00047390582,-0.0018871864,-0.0046658255,-0.0029762024,-0.0065698163,-0.0027711114,0.00016854098,0.0014793617,0.00041528605,-0.003119814,-0.00242966,-0.0032256357,-0.0014710673,-0.0016401126,0.0014975285,-0.004117032,0.0007434003,-0.0009336611,-0.0030088886,-0.0020525446,-0.0036035446,-0.0036356337,0.0011126399,-0.00027859583,-0.0016643363,-0.0031341403,-0.0024553323,-0.0018470874,-0.0018688454,-0.005618476,0.0032378072,0.0027177064,0.00076387124,-0.00044668932,-0.001020167,-0.0030329116,-0.0010250616,-0.0014439011,-0.0010214755,-0.00011336105,-0.0034162062,-0.00024726614,-0.00075405417
CRM,0.0077889357,0.013380691,0.01123959,0.013002184,0.011031011,0.014095037,0.012714986,0.012410451,0.011128749,0.008333329,0.0150997415,0.013130489,0.0074518984,0.011576688,0.009226503,0.0049778465,0.00862036,0.012294721,0.011903691,0.012021291,0.012992373,0.013508286,0.011477489,0.0110907825,0.010418049,0.01382616,0.011499045,0.013505087,0.0124555845,0.012841158,0.011323446,0.013344963,0.011062924,0.008148851,0.011688871,0.0024647363,0.0149993785,0.014154114,0.010396074,0.011802219,0.009565521,0.010826585,0.013577022,0.0059228963,0.010322147,0.009070866,0.013473275,0.015142372,0.015814308,0.01315067,0.013606409,0.012590528,0.014079328,0.010579505,0.011379025,0.012851186,0.009551661,0.010465365,0.0066342605,0.013456476,0.0026084878,0.010975588,0.007902925,0.009858267,0.013268298,0.0076873507,-0.00023591006,0.0072634714,0.00054242276,0.0007579441,0.007558847,0.010432818,0.01120473,0.0025848346,0.006041242,0.008418339,0.011612141,0.009053732,0.01115503,-0.0010496387,0.0112027945,0.0074834377,0.0019970583,0.0062078796,0.0003508255,0.0052405894,0.00911157,0.010178481,0.0020222515,0.005485869,-0.007926905,0.006103374,0.007587936,-0.0038511143,0.011724565,0.011532964,0.0071293344,0.008074308,0.008609722,0.0028238893,0.0045392322,0.005447081,0.006730847,0.006894491,0.0040543578,0.009116303,0.0077889357
NTES,0.0024430617,0.0074507585,0.0055558775,0.007005808,0.0049295444,0.008617396,0.0077187414,0.0067675,0.0054536443,0.0028768983,0.009681425,0.006826994,0.0021954821,0.005761819,0.003386978,-0.00042301137,0.0031256797,0.006330421,0.0064088274,0.006539165,0.007093968,0.007937129,0.0059640585,0.0053919656,0.0048538474,0.008027982,0.006450095,0.0077886395,0.0070968475,0.0072526587,0.0058252066,0.008310866,0.0051602637,0.002925815,0.0057398537,-0.0027660397,0.009229226,0.008201672,0.0048973868,0.005539121,0.004405737,0.0044236006,0.007943649,0.0005056467,0.003995281,0.0037574377,0.0073790597,0.009242175,0.01005499,0.007816261,0.008060039,0.0068367533,0.008333384,0.005221495,0.005464663,0.007364738,0.003438536,0.0047533866,0.0010148026,0.007600818,-0.002100031,0.0057672905,0.002687946,0.004087151,0.0077397125,0.0025626048,-0.005075351,0.0020113913,-0.0049182004,-0.0041485573,0.001730917,0.004684238,0.005830857,-0.002163901,0.0011039055,0.0032651005,0.005819286,0.0035257516,0.005682459,-0.006327087,0.0054490566,0.0024025543,-0.003671794,0.0012382041,-0.0049237143,9.4809104e-05,0.0041881124,0.005519905,-0.0031344981,5.1138923e-06,-0.012978623,0.00031797634,0.002392456,-0.009678899,0.005957786,0.0066034114,0.0024696644,0.0027400427,0.0035904655,-0.0022791238,-0.00075164065,-0.00025220215,0.0015128436,0.0013489821,-0.0011753831,0.003755995,0.0024430617
CERN,0.007387463,0.012808253,0.010839733,0.012537923,0.010770065,0.013525427,0.012323259,0.011739409,0.010730364,0.0076125273,0.014593,0.01257459,0.007010535,0.010991202,0.008730691,0.004356971,0.007969152,0.011738186,0.011247991,0.011498846,0.012404446,0.012837565,0.010935166,0.010495665,0.00988652,0.013299802,0.010993481,0.012852837,0.012007729,0.012307462,0.010739556,0.012916901,0.010456033,0.0076126214,0.011104413,0.0022344775,0.014328155,0.013562202,0.009868784,0.011152114,0.009006899,0.010202323,0.013074304,0.0055481545,0.010133311,0.0085390285,0.012746432,0.0146294655,0.015396113,0.012568071,0.012926996,0.0120903915,0.013448644,0.010068252,0.010928594,0.012282848,0.009122916,0.009838949,0.0062078787,0.012861726,0.0025710154,0.010477549,0.007659183,0.009400946,0.0126497215,0.007177324,-0.000584153,0.0067403913,1.065433e-06,0.0005913924,0.0072594006,0.010074128,0.0106808515,0.0021057315,0.0055618044,0.007757237,0.010941282,0.008478983,0.010846137,-0.0011457591,0.010721858,0.007018756,0.0017944742,0.0057015177,2.645608e-05,0.0047303,0.00878381,0.009604754,0.001871957,0.0050025424,-0.007536547,0.005755648,0.0070801293,-0.0038769492,0.011489448,0.011140745,0.006874764,0.007621837,0.008036409,0.0023706006,0.0041978993,0.0051205233,0.0063036447,0.0064969813,0.003603675,0.008712049,0.007387463
SWKS,0.006192421,0.010442398,0.00905923,0.01034441,0.008947554,0.010754205,0.010279123,0.009219357,0.009090193,0.005797426,0.011388504,0.010310766,0.006252549,0.008896221,0.007191399,0.0040073087,0.0064640716,0.009560065,0.008820496,0.009460729,0.010376607,0.010308563,0.008584097,0.008597724,0.008070126,0.010698923,0.00885811,0.010398672,0.009749034,0.010072039,0.008620951,0.010726596,0.008615612,0.0065027718,0.009131587,0.003233219,0.011361563,0.0107428385,0.008436975,0.009142598,0.007471119,0.008351987,0.010752264,0.0051683504,0.008618952,0.0071306312,0.010342809,0.011841427,0.012714307,0.009829061,0.010341975,0.009937953,0.010570701,0.008300456,0.008914868,0.010164902,0.008093445,0.007719145,0.0047899643,0.010394657,0.0030827164,0.00839228,0.0065316847,0.007936167,0.01001881,0.0060904184,0.00015128637,0.0057486277,0.00026219105,0.0012510857,0.006737046,0.008736403,0.008666929,0.0025950149,0.004743507,0.0060578305,0.008645387,0.007188973,0.008977795,1.2859469e-05,0.009084597,0.0061259107,0.0016963519,0.005195502,0.00061599584,0.0040268726,0.0075370716,0.007853234,0.0025426329,0.004175588,-0.0041864607,0.005200849,0.0056654164,-0.002151466,0.009883435,0.009551019,0.0058208876,0.006697084,0.0069931224,0.0028988034,0.004218596,0.0046176617,0.0058982894,0.0058368407,0.003421845,0.0071152654,0.006192421
ICE,0.005862556,0.011168802,0.0089304205,0.0107101975,0.009123206,0.0118843075,0.010287712,0.010396665,0.009117228,0.006795128,0.012760803,0.011060227,0.0057802945,0.009529176,0.007328159,0.0043084268,0.0070387106,0.010254777,0.009789414,0.00982546,0.010959723,0.011320349,0.00959827,0.009094643,0.008478382,0.0114916125,0.009478337,0.011392975,0.010247664,0.0104803415,0.009361459,0.011095748,0.009331262,0.007006768,0.00972403,0.0018969458,0.012788084,0.0119310925,0.008757514,0.010172682,0.007694793,0.009188551,0.011262516,0.004658165,0.008341237,0.0072660167,0.011429832,0.012784068,0.013441228,0.0110795,0.011370363,0.010313354,0.011808974,0.0083232,0.009408324,0.010522221,0.00783353,0.008567625,0.005286225,0.0114185745,0.0012261376,0.008992587,0.006427891,0.00804006,0.010991479,0.0061372314,-0.0012072911,0.0060878852,-0.00031018863,-0.00036497903,0.0061186343,0.008655501,0.009120026,0.0016327202,0.004400074,0.0068449685,0.009591209,0.007491336,0.00922985,-0.0017892946,0.0094212,0.0060725072,0.00046270574,0.005141364,-0.00081800716,0.0039170207,0.0073268204,0.008540193,0.0010157279,0.0042787865,-0.008010563,0.0048673283,0.0060269358,-0.0041161566,0.009373096,0.0095768,0.0051647667,0.0064340914,0.0072537838,0.0019220854,0.0028979513,0.0039686398,0.005353303,0.005409824,0.0030810582,0.007031678,0.005862556
