,pr_1m_0m_cross,mv_cross,btm_cross,mom_12m_1m_cross,ram_12m_0m_cross,vol_3m_cross,res_mom_12m_1m_0m_cross,res_vol_6m_3m_0m_cross,asset_turnover_cross,gpa_cross,rev_surp_cross,cash_at_cross,op_lev_cross,roe_cross,std_u_e_cross,ret_noa_cross,etm_cross,ia_mv_cross,ae_m_cross,ia_ta_cross,rc_a_cross,r_s_cross,r_a_cross,fred_ff_cross,t3m_cross,t6m_cross,t2y_cross,t3y_cross,t5y_cross,t7y_cross,t10y_cross,aaa_cross,baa_cross,snp500_pr_cross,wilshire500_pr_cross,ted_cross,t1y_ff_cross,t5y_ff_cross,t10y_t2y_cross,aaa_t10y_cross,baa_t10y_cross,aaa_ff_cross,baa_ff_cross,core_cpi_cross,core_pce_cross,core_ppi_cross,cpi_cross,pce_cross,ppi_cross,trimmed_pce_cross,unemploy_cross,retail_mfr_cross,m1_cross,m2_cross,export_growth_cross,import_growth_cross,real_gig_cross,real_pig_cross,federal_tg_cross,real_gdp_cross,corporate_tg_cross,industrial_prod_cross,home_pr_cross,wti_cross,capa_util_cross,snp500_pe_cross,snp500_vol_cross,pr_1m_0m_serial,mv_serial,btm_serial,mom_12m_1m_serial,ram_12m_0m_serial,vol_3m_serial,res_mom_12m_1m_0m_serial,res_vol_6m_3m_0m_serial,asset_turnover_serial,gpa_serial,rev_surp_serial,cash_at_serial,op_lev_serial,roe_serial,std_u_e_serial,ret_noa_serial,etm_serial,ia_mv_serial,ae_m_serial,ia_ta_serial,rc_a_serial,r_s_serial,r_a_serial,fred_ff_serial,t3m_serial,t6m_serial,t2y_serial,t3y_serial,t5y_serial,t7y_serial,t10y_serial,aaa_serial,baa_serial,snp500_pr_serial,wilshire500_pr_serial,ted_serial,t1y_ff_serial,t5y_ff_serial,t10y_t2y_serial,aaa_t10y_serial,baa_t10y_serial,aaa_ff_serial,baa_ff_serial,core_cpi_serial,core_pce_serial,core_ppi_serial,cpi_serial,pce_serial,ppi_serial,trimmed_pce_serial,unemploy_serial,retail_mfr_serial,m1_serial,m2_serial,export_growth_serial,import_growth_serial,real_gig_serial,real_pig_serial,federal_tg_serial,real_gdp_serial,corporate_tg_serial,industrial_prod_serial,home_pr_serial,wti_serial,capa_util_serial,snp500_pe_serial,snp500_vol_serial
pr_1m_0m_cross,-0.0020711704,-0.030326128,0.0065271016,0.0048666806,0.012393382,-0.027800255,-0.009381152,-0.008971365,0.011901701,0.00141595,0.008995624,-0.016180255,0.00027077796,0.0048639616,0.0013240301,-0.01693577,0.013758386,0.0029220157,0.0039786445,-0.0049959477,0.0045287525,-0.0033675754,-0.012481212,0.0008632007,-0.010631486,-0.0023242838,0.0008349745,0.002495914,0.0072453395,0.010209114,0.010391163,0.01196629,0.018715052,-0.0067056166,-0.004741598,0.022758147,0.025671305,0.01070785,-0.0017394666,-0.0037445603,0.0029867492,0.0072348793,0.016654642,-0.0071113864,-0.023421833,-0.010366841,-0.0132747805,-0.023291714,-0.012012576,-0.0034099764,0.0036013736,0.024370324,-0.010654988,-0.00048535125,0.011638812,0.012960423,-0.00661939,0.00611956,-0.016201751,-0.0005612585,0.004787778,-0.029019348,0.008369599,-0.026057081,-0.001374312,-0.0047061876,0.0010320985,0.005635306,0.0015353435,0.01223244,0.014509313,0.0067291227,-0.036988355,-0.0076005054,-0.022708163,0.0050608846,0.016963165,0.012134164,0.013484145,-0.006273141,-0.016894974,0.008039962,-0.0041397577,-0.0028707373,0.0019682178,0.019621704,-0.013835633,0.013491646,0.0073901513,0.006367756,-0.0007107592,-0.0007236382,0.0016242309,0.0043752347,-0.0020070684,0.0049212975,0.0021359895,0.00040433253,-0.003711595,0.00581819,-0.012387099,-0.011706214,0.031796936,0.019449115,0.0061219153,-0.0041232253,-0.0030705761,0.0048798528,0.005401789,0.007889014,-0.0058886255,-0.023231143,-0.0019310992,-0.0109754605,-0.019635681,-0.016263306,-0.0007186884,0.0011941729,0.021752767,-0.008073904,0.0045163953,0.007936256,0.0063299844,-0.002510065,0.0020386802,-0.014284885,0.00075067685,0.0013284473,-0.02431624,0.012809835,-0.022660386,-0.003674836,-0.00404401,0.0024752095
mv_cross,-0.017707087,0.001571809,-0.0135259805,-0.0063409517,-0.012307633,0.021094963,-0.0009849275,0.011757075,-0.0044421954,-0.0132106,-0.0118120015,-0.014901846,0.0028345087,-0.00926547,-0.007862697,-0.012058275,-0.0076702484,-0.006992342,-0.0054584565,-0.0058234613,-0.008834419,-0.010380549,-0.003809838,0.0028135837,0.0074621034,0.006873065,0.0077423593,0.0052899974,0.0014638868,-0.00095205463,-0.0040287897,-0.008393932,-0.00834428,0.0083442535,0.007992147,-0.0036898942,0.022243463,0.004043374,0.0017337862,-0.005404764,-0.009778274,-0.0027727697,-0.007802581,0.014081473,-0.008214734,0.008968,-0.003371627,-0.0074097584,-0.0028538173,0.0088244025,-0.010741241,-0.007831454,0.00097507087,-0.0016252853,-0.003692187,-0.005237349,-0.0005062998,-0.007632292,-0.002277447,-0.0033077893,0.013248891,-0.007687749,0.010634137,0.001974449,-0.008812849,0.024146566,0.011045598,-0.018898102,0.00323857,-0.018564902,-0.00030994462,-0.0163662,0.0079996325,0.00808268,0.022285212,0.00986863,-0.0053584087,0.0030126357,0.0043247305,-0.0018522538,-0.012987912,0.006784441,-0.02572781,-0.014284276,0.010764932,-0.0031916946,0.013924338,-0.0069561917,-0.02092622,0.021789482,0.0035345785,0.003705552,0.004509357,0.0046972404,0.0063944506,0.005185517,0.0025019182,0.0005882104,-0.00063196325,-0.002315517,0.018966708,0.019152874,-0.014367847,0.017728455,-0.0045083263,-0.0023195725,-0.010625289,-0.015332524,-0.008390481,-0.010692967,0.01156676,-0.0053307326,0.013736028,-0.004467258,-0.0037365996,-0.0015184323,0.0075874436,-0.009584164,-0.0053622085,0.006041145,-0.0017042737,0.0038168617,0.0065669897,0.0043042465,0.0005039455,0.003574305,-0.0025660144,0.017859878,-0.0005203254,0.017894618,0.002888716,-0.0034845963,0.029343393,0.013572483
btm_cross,0.0035884834,0.003439446,0.007303124,0.004132295,0.0041082134,0.0042813784,0.005325745,0.005369476,0.0007470759,0.003777519,-0.0017943087,0.0059633986,0.004148785,-0.00066021224,0.00458368,0.0030786523,0.0010436706,0.004637814,0.0019691503,0.0061792354,0.0051773665,0.0053373515,0.0034959617,-0.0026730006,-0.008217711,-0.008810152,-0.006584763,-0.008075034,-0.0061044316,-0.005390345,-0.0043965694,0.0049655973,0.006692856,-0.002005737,-0.001993469,0.004713411,-0.001888826,-0.0011388344,0.003525452,0.006944965,0.006449249,0.0042683664,0.004845145,-0.0057979464,0.00047754264,-0.0024676179,0.00097489357,0.00021241978,0.001361002,0.0038724006,0.007185043,0.0007049277,-0.0008430197,0.00047668756,-0.008045304,-0.009233892,0.007503621,-0.0019711407,0.0026769566,-0.004200162,-0.009994932,-0.0015118504,0.0023914827,0.008977871,-0.0047963997,-0.00541735,0.0039352914,-0.0035823141,0.0014318819,0.007258875,-0.008878266,-0.0026140988,0.0089756735,-0.0026161291,0.0027324823,-0.007977656,-0.006111302,-0.011936162,0.0073314523,0.0016369177,-0.0041863504,0.0018562782,0.0035312113,0.002729724,-0.0012045609,-0.0015039144,-7.0323935e-05,-0.00016678614,0.008962345,-0.0050685722,-0.006121975,-0.004123815,-0.004101045,-0.0059842416,-0.0064387214,-0.009382176,-0.007537433,-0.007990443,0.0033626624,0.008075325,-0.0056667365,-0.0049849716,0.003542686,-0.0042280294,0.0038306806,0.0033916067,0.00983461,0.009323887,0.004662129,0.0040748264,-0.007909188,-0.001682777,-0.0040720752,-0.0023275313,-0.00242034,-0.0019243103,-0.00021473918,0.005924088,-0.0009832542,-0.0020201418,0.0014283444,-0.00855281,-0.010024821,0.004372353,-0.0042734365,0.0007648616,-0.0061798287,-0.0073012374,-0.0031648139,0.00018229056,0.0023501585,-0.0063585965,-0.0038183688,0.0052578696
mom_12m_1m_cross,-0.003072807,0.0036910744,-0.0071241423,-0.017881837,-0.016003275,0.01821949,-0.0024104058,0.006837411,-0.00866406,-0.0045215446,-0.00408418,0.0024218678,0.002269364,-0.0029904463,-0.014336671,0.0051220385,-0.0006389994,-0.0033063672,-0.005804924,0.007903645,-0.005627531,-0.003381874,0.0054333294,-0.008846622,-0.005830266,-0.007947349,-0.0066400087,-0.0050629824,-0.0030023959,-0.0011952204,-0.0005598298,0.013280018,0.014094204,-0.015196795,-0.015091042,6.8284455e-05,0.007542861,0.009819003,0.007685579,0.0042048492,0.003302038,0.005843666,0.006078682,-0.011314765,-0.0002867377,-0.011773065,-0.00088366144,-0.002824258,-0.009619315,0.00014710298,0.0062221284,-0.0019795708,0.005286707,0.00055401557,-0.0081626205,-0.007204583,0.003733486,0.004607141,0.015014813,0.0067820274,-0.005293364,-0.0077959048,0.005364387,0.0020474805,0.004796572,-0.010280345,0.006417981,-0.015589401,-0.009159206,-0.01052974,-0.0009261456,-0.0025857105,0.012688026,0.004549237,0.011381632,-0.007363012,-0.016876625,0.008582236,0.00544195,0.012386074,0.00691665,-0.02149782,0.0039899303,0.004761769,-0.008768966,-0.027690884,0.012510137,0.0066067767,0.0016428567,0.01287928,-0.009052479,-0.0052422592,-0.0073375017,-0.006906812,-0.003331064,-0.005654064,-0.003536925,-0.003367355,0.016582968,0.021059355,-0.0122227855,-0.012381696,-0.012867329,0.002957907,0.006656985,0.014373318,0.006870904,0.0059257015,0.008355971,0.0073740412,-0.012258463,-0.0008723076,-0.012663458,-0.004815132,-0.0031374854,-0.00876171,0.0008412141,0.01140016,0.0011130364,0.0060595744,0.0018500107,-0.009321386,-0.0072488952,0.000850964,0.007735117,0.020900432,0.0056738276,0.00050743105,-0.0051044337,0.0062117255,-0.0012612683,0.0057885363,-0.0109872045,0.010064485
ram_12m_0m_cross,-0.0069922823,-0.009301119,-0.0045064157,0.0018362007,-0.00030702224,0.0010470413,-0.008169006,0.00076175266,0.0018820872,-0.0019450029,0.0015362209,-0.0072905123,0.00445127,0.0014612792,-0.0016262182,-0.0035880294,0.008298202,0.0016258428,-0.0004957535,0.0062292833,0.0010524897,-0.000925579,-0.0023890862,-0.0025569312,-0.0061163297,-0.0040185107,-0.0060701477,-0.003994972,-0.0030096346,-0.004104772,-0.0040825037,0.0038296063,0.009947313,-0.009087828,-0.008861769,0.0043509086,0.014612686,0.010525932,0.0046414537,0.0036175067,0.008188657,0.0019452024,0.0063428786,0.0014557323,-0.008229987,-0.0026276086,-0.009343284,-0.009209564,-0.012535889,-0.0012404659,0.0014070676,0.009795368,0.006108638,0.006097722,-0.010180305,-0.008615116,-0.00065191044,0.0027334723,-0.00013005143,0.0010155286,-0.0014413066,-0.0139950095,0.00980978,-0.0072936686,-0.00043002967,-0.003820239,0.014057665,-0.011076379,-0.004960146,-0.005446526,0.008465987,-0.004317129,-0.004225707,-0.011775095,-0.0002616808,0.0018299408,0.0049059927,0.004378491,0.0009420749,-0.00014830864,-0.00028137956,-0.002605945,-0.005285391,0.009876781,0.0023634117,-0.0037210686,0.00582099,0.0028207824,-0.001928673,-0.0038015745,-0.007759555,-0.00615834,-0.0055065826,-0.0061830413,-0.0076640076,-0.00653208,-0.00865277,-0.008447956,0.0016409922,0.008808144,-0.007260457,-0.0064373794,-0.0010473256,0.006546758,0.0048228055,0.0032652565,0.004680009,0.008733782,0.0053887707,0.0035514773,0.0011776481,-0.008372606,0.0020251423,-0.00991885,-0.008162894,-0.0145623805,0.0015680667,0.0061406298,0.010590139,0.008054787,0.00868307,-0.010626143,-0.007982156,0.004191437,0.0038422523,0.0036885515,-2.6810594e-05,0.0016397698,-0.0109626595,0.011916415,-0.0082335705,-2.0228064e-05,-0.0040719653,0.015473391
vol_3m_cross,-0.008103141,0.018983256,0.005558978,0.01445492,0.013529471,0.031968936,0.011323062,0.015411242,0.007410504,0.007896205,0.004388863,0.021014627,0.0050264066,0.011867841,0.022840787,0.019512929,-0.0004748688,0.005810461,0.006779674,0.009864572,0.008311103,0.012020806,0.01430371,0.0042799423,0.0038337032,0.007561204,-0.005548752,-0.005781941,-0.01098505,-0.013893107,-0.017341545,-0.037792355,-0.03809451,0.011508835,0.010926675,-0.0065531833,-0.03138292,-0.013322715,-0.0018957045,0.008222082,-0.003416826,-0.0041926536,-0.017795155,0.022884237,0.005089627,0.021970192,0.01518791,0.015161409,0.021079056,0.008623142,-0.0038706535,-0.015509163,0.018524405,0.010148999,-0.014922663,-0.018072028,0.00322635,-0.019079478,0.012032417,-0.0142544005,0.020751394,0.02138849,-0.0023259106,0.025666213,-0.010929484,0.020389585,0.0045759645,-0.019574549,-0.02967965,-0.011106419,0.0006439551,-0.0017824236,0.0074238773,-0.012664409,0.013210754,0.004303968,0.0013671237,-0.021633446,-0.00028882595,-0.02007309,0.008598327,0.032598834,0.018972838,-0.020618107,-0.019497288,-0.012972774,0.014651526,-0.0076661715,-0.008917494,-0.015649524,0.0018978914,-0.0034669961,0.002460439,-0.0054142866,-0.0054390305,-0.008240187,-0.004903913,-0.005710654,-0.012006203,-0.02337588,0.001001877,0.0010904784,-0.016210185,-0.02479621,-0.0045049516,0.0064007225,0.0039028274,-0.0090287905,-0.0100071505,-0.012542303,0.00980735,0.009268579,0.006403634,0.01307201,0.01378848,0.02228167,0.003030902,-0.008065099,-0.020541482,0.01053567,0.0006541322,-0.0056969454,-0.0067035346,-0.015480799,-0.013389162,0.0034320347,-0.012529909,0.022517843,0.020924687,-0.010451983,0.021726394,-0.008357926,0.01653366,-0.008031595
res_mom_12m_1m_0m_cross,0.007257901,0.008515291,0.004767925,0.0070517687,0.0074293036,0.0102122,0.006585091,0.007306511,0.011148773,0.010947543,0.0079868855,0.009146367,0.013455261,0.00885225,0.0120660495,0.010086528,0.0056771045,0.009020259,0.00796957,0.012417815,0.01192985,0.010623973,0.014487673,-0.0068194345,-0.009281491,-0.005501814,-0.0097685,-0.010472324,-0.007870655,-0.0059988936,-0.0062890304,-0.0023014636,-0.00024500175,-0.009114246,-0.009864468,-0.005162374,-0.003629214,0.0039192275,0.0054602693,0.0064539528,0.004765923,0.007343854,0.0023592762,-0.0008348708,0.00089403987,-0.00023753624,-0.0031459802,-0.0018776536,-0.00820211,-0.007970496,0.006962825,-0.00013402458,0.010385377,0.0042784926,-0.008294978,-0.00487944,-0.0028534199,-0.0015595974,0.006153217,-0.006470433,0.0020799474,-0.005516951,0.008778802,0.0024712458,-0.0043247906,0.0038807376,0.0073125795,-0.009849665,-0.02043104,-0.008036724,-0.006036669,-0.0136237275,0.007202702,-0.012112193,0.0095823165,-0.008550929,-0.003749406,0.0004844346,-0.00071176817,-0.0071368357,0.006039646,0.0017086854,-0.0022401235,-0.0025974545,0.0037260978,-0.0018691131,4.4185435e-06,-0.003524261,-0.007800954,-0.0011124903,-0.011475613,-0.010781483,-0.0069239023,-0.009884507,-0.012315603,-0.012422336,-0.011345066,-0.011356538,-0.008063567,-0.005616268,-0.0066467943,-0.006928945,-0.0077596446,-0.009209721,-0.0011713089,0.009376077,0.0065751025,0.0062999236,0.003630348,0.0040576584,-0.0015955125,-0.0050557815,-0.0026085472,-0.006037238,-0.007847578,-0.009367711,-0.005721512,0.009802127,0.0027442565,0.014416954,0.007037103,-0.011992674,-0.008564059,-0.0039401385,-0.004647562,0.006300015,-0.009119653,0.00346504,-0.009587368,0.010551966,-0.0039672446,-0.006953665,0.004477177,0.0065693213
res_vol_6m_3m_0m_cross,0.0040434264,-0.003823346,0.0066516376,-0.0016104315,0.008806025,-0.00244903,-0.0002718193,-0.00078871415,0.0044108154,0.010118505,0.0060949684,0.007356221,0.00072896207,0.012504011,0.0010120643,0.0094480235,0.012039121,0.0042277128,0.0068302257,0.007203874,0.005156183,0.0050400924,0.0053559714,0.0114295315,0.0053351796,0.0063701216,-0.0014736387,0.0013010905,-0.0020100747,-0.0012329308,-0.0028165672,-0.013966722,-0.014437687,0.007670134,0.008017979,0.0042879633,-0.029127564,-0.017629554,-0.008455505,0.0027023205,0.001324605,-0.01302303,-0.012688132,0.013739166,0.0011364437,0.011111485,0.009347458,0.0061955336,0.007475133,0.013451812,-0.0070580477,0.0039424226,0.002151414,-0.0006841766,-0.0018122096,-0.004950328,0.018849352,0.0020800715,0.016555773,0.006332843,-0.0026839653,0.004296672,-0.012737977,0.008066696,0.008232755,-0.012280368,-0.0050412007,-0.00014041597,-0.013975969,0.0012029131,-0.0029717488,0.009778596,-0.008769779,-0.0060536205,-0.014159281,-0.01229675,0.008611546,-0.017867334,0.00036055368,-0.0057930835,0.003997108,0.009517166,0.015535472,0.0064568655,-0.016843848,0.004935674,0.004590725,0.0047382414,0.006907453,-0.0060141427,0.011036463,0.009385557,0.008563106,0.0039736233,0.000921738,0.0017685817,0.0016025446,0.0020153383,-0.0043752952,-0.0074188416,-0.00613748,-0.005311774,0.0037679404,-0.021601802,-0.0052338005,-0.009270707,0.0026889397,0.0024901466,-0.0056334636,-0.0070974925,-0.0012930594,0.0063328235,-0.0017776964,0.010519854,0.0070243627,0.0066119856,0.0033899916,-0.0055773887,-0.0046585267,-0.0049958797,-0.0050368477,-0.0010351711,-0.0012989389,0.010291453,0.001366148,0.010841307,0.0072070723,-0.0066234884,0.0056643537,-0.020433161,0.00886743,0.006902128,-0.019772403,-0.009042703
asset_turnover_cross,0.004138226,-0.0051902467,0.00691596,0.011365861,0.012289759,-0.008903319,0.0018450593,-0.0017655153,0.008535921,0.002038429,0.0051858244,-0.0026113535,-0.0010131849,0.0033862677,0.0083437525,-0.0036556209,0.0074925013,0.0057966094,0.00838469,0.0003302009,0.0057795346,0.0042990977,-0.0040418464,0.0007782694,0.0013005632,0.004116554,-0.0035340125,-0.0024599591,-0.0049523152,-0.0033240425,-0.0031128246,0.0013339327,0.0039499323,0.015115827,0.013852718,0.0043441844,-0.0044652573,0.0023921204,0.00033091466,0.0009521113,0.0046145995,-0.002069416,0.0021587133,0.0032294677,-0.004496766,0.0033943574,-0.008178279,-0.0063086394,-0.003109184,-0.004288617,-0.0025996026,0.0113073075,-0.0078313025,0.0036636132,0.0015872442,0.0014661355,0.0046078833,0.0059399153,-0.00045505475,0.0035827383,-0.007771262,-0.006339738,-0.0069286306,-0.008250526,0.002469401,-0.00860878,-0.0013884516,0.007455396,0.01725555,0.0038157378,0.010960391,0.009292663,-0.00809359,-0.0028783379,-0.011512571,0.016388897,0.011709917,-0.008050381,0.0064380537,-0.00028112426,0.0024186203,0.0031571041,0.012051591,0.012807751,0.0043232027,0.023816561,-0.0037109593,0.0014465704,0.0060729715,-0.005912057,0.0048767827,0.004204914,0.0023175175,0.0021128056,0.00026641064,-0.00011763378,-0.0027254354,-0.002001702,-0.0005507643,0.0006314709,0.0075226193,0.00677011,0.011227777,-0.0026920913,-0.0015050189,-0.0051552877,-0.004201546,0.0021524364,0.0020408502,0.00075893255,-0.0011956455,-0.004866443,0.000314223,-0.0064828517,-0.0061209383,-0.0044900686,0.00016392491,-0.0011951618,0.006803313,-0.011012099,0.0031227325,0.003307509,-0.0006318739,0.006481245,0.0018089947,-0.0070384415,0.0030538358,-0.011873983,-0.0069377827,-0.0036608335,-0.009497858,0.00032084555,-0.0066332184,-0.0028060996
gpa_cross,-0.0020750803,0.013121062,0.004768711,-0.00076409517,0.0021623045,-0.002570981,-0.0042544394,0.0024379357,0.009644892,-0.0055508823,0.0038732262,-0.026241774,-1.9921572e-06,0.014437975,-0.0036957625,-0.005483247,0.02200654,0.004176061,0.00852706,0.0018023769,0.0005032973,-0.0037040666,-0.0020538813,0.0036091104,0.0028401883,0.0009980067,0.0027316292,0.0017391717,-0.002449829,-0.005147015,-0.0047392794,-0.009524922,-0.014988442,0.014692526,0.013297187,-0.005858757,0.0041918596,-0.005368424,-0.003539721,-0.0048248307,-0.003591892,0.0012618181,0.0014200446,0.009510861,-0.00171677,0.008074068,-0.0034634254,-0.0036324784,-0.0051492546,0.001987616,-0.004685342,-0.002209089,0.00059571856,0.0007270553,0.0026332953,0.0028860145,-0.0030247036,-0.0013157828,-9.503984e-05,0.0019068783,0.011283102,-0.010304569,0.002297707,-0.0009423378,-2.2008637e-05,0.016196035,0.0008948084,-0.011897379,-0.00089103647,-0.016167877,0.009643592,-0.0073073083,-0.010411228,-0.0043278094,0.010264053,0.006985795,0.0015539734,-0.008332529,-0.019866988,0.0022089577,0.010647801,0.0013487398,-0.017426232,0.007407066,0.011189617,0.0176438,0.0011928385,-0.0036794706,-0.019348029,0.0024859933,0.0030636862,0.0035106458,0.0015321154,-0.0017745493,-0.0030485888,-0.002528563,-0.0033465913,-0.004358676,-0.016758047,-0.019789854,0.020075995,0.019145813,-0.002795387,0.0034697442,-0.008213601,-0.0076278155,-0.0055405786,-0.005641204,-0.005784783,-0.005792364,0.008151599,-0.005472744,0.0080616055,-0.0044716704,-0.005960798,-0.006780423,0.0009061293,-0.006595791,-0.0004766009,0.006827796,0.0010160828,0.004682063,0.005864267,0.003757792,-0.0006088648,0.0042189932,0.0032572437,0.0073926067,-0.008358253,0.0013804262,-0.002636922,0.0030681659,0.014963598,0.00030985568
